universe_record_id,dependency_group,taxon_raw,figshare_article_ids,analysis_rows,source_identity_status,source_content_status,mapping_basis,notes
U1_021,Eryngium_yuccifolium,Eryngium yuccifolium,464,1,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_022,Halimium_halimifolium,Halimium halimifolium,1440,6,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_023,Heliconia_spathocircinata,Heliconia spathocircinata,1111,3,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_024,Impatiens_capensis,Impatiens capensis,691,5,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_025,Ipomopsis_aggregata,Ipomopsis aggregata,284,7,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_026,Ipomopsis_aggregata_subsp_candida,Ipomopsis aggregata subsp. candida,886,24,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_027,Isomeris_arborea,Isomeris arborea,971;973,9,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_028,Lepidium_papilliferum,Lepidium papilliferum,995,2,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_029,Linaria_dalmatica,Linaria dalmatica,335,4,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_030,Loasa_tricolor,Loasa tricolor,332,2,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_031,Mimulus_aurantiacus,Mimulus aurantiacus,1475,2,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_032,Myrmecophila_tibicinis,Myrmecophila tibicinis,1643,2,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_033,Oenothera_macrocarpa,Oenothera macrocarpa,1128,16,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_034,Pastinaca_sativa,Pastinaca sativa,1024;1574,10,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_035,Pedicularis_gruina,Pedicularis gruina,1010,5,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_036,Peraxilla_spp,Peraxilla spp.,917,6,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_037,Platanthera_bifolia,Platanthera bifolia,1487,7,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_038,Prosopis_flexuosa,Prosopis flexuosa,122,3,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_039,Raphanus_raphanistrum,Raphanus raphanistrum,1660,5,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_040,Ribes_magellanicum,Ribes magellanicum,1507,5,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_041,Rudbeckia_hirta,Rudbeckia hirta,727,6,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_042,Trillium_grandiflorum,Trillium grandiflorum,949,3,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_043,Verbascum_nigrum,Verbascum nigrum,1416;1417,5,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_044,Tristerix_aphyllus,Tristerix aphyllus,313,1,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_045,Eichhornia_crassipes,Eichhornia crassipes,294,3,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_046,Nemophila_menziesii,Nemophila menziesii,1079,3,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
U1_047,Ruellia_nudiflora,Ruellia nudiflora,1143,6,MAPPED_PRIMARY_FROM_REVIEW_DATA,CONTENT_RETRIEVAL_PENDING,DIRECT_FIGSHARE_ANALYSIS_STUDY_JOIN,Exact study identity recovered from Haas-Lortie Figshare review data; primary full text/evidence surface still requires retrieval before production coding.
