sample_order,universe_record_id,dependency_group,taxon_raw,conflict_status,same_coordinate_evidence,opposing_demand_evidence,architecture_status,screen_decision,reason_code,source_basis,claim_ceiling,notes
1,U1_001,Aechmea_pectinata,Aechmea pectinata,NO_DEMONSTRATED_CONFLICT,NO,NO,NOT_IDENTIFIED,FAIL_CONFLICT_GATE,DAMAGE_EFFECT_ONLY,Canela_Sazima_2003_Biotropica,primary_source_shows_florivory_effect_on_pollinator_visits_not_opposing_trait_demands,Crab florivory damages flowers and reduces hummingbird visitation; no shared plant trait with opposite function-specific optima is identified.
2,U1_002,Alstroemeria_aurea,Alstroemeria aurea,NO_DEMONSTRATED_CONFLICT,NO,NO,NOT_IDENTIFIED,FAIL_CONFLICT_GATE,DAMAGE_EFFECT_ONLY,Aizen_Raffaele_1998_Ecology,primary_source_shows_defoliation_cost_not_opposing_trait_demands,Defoliation reduces pollen quality and paternal performance; no pollinator-versus-herbivore preferred-state contrast on one trait is estimated.
3,U1_003,Alstroemeria_ligtu_var_Simsii,Alstroemeria ligtu var. Simsii,NO_DEMONSTRATED_CONFLICT,PARTIAL,NO,NOT_IDENTIFIED,FAIL_CONFLICT_GATE,DAMAGE_TO_POLLINATOR_SIGNAL,BottoMahan_et_al_2011_IJPS,primary_source_shows_damage_to_nectar_guides_reduces_pollination_not_opposing_optima,Nectar-guide damage reduces attraction and reproduction; the source does not show that herbivore-mediated fitness favors the opposite nectar-guide state.
4,U1_004,Alstroemeria_umbellata,Alstroemeria umbellata,NO_DEMONSTRATED_CONFLICT,NO,NO,NOT_IDENTIFIED,FAIL_CONFLICT_GATE,AGENT_INTERACTION_WITHOUT_SHARED_COORDINATE,Valdivia_Niemeyer_2005_NZJE,primary_source_factorial_agent_effects_not_same_coordinate_conflict,Aphid and pollinator exclusions have non-additive reproductive effects but no common trait coordinate with opposing preferred states is identified.
5,U1_005,Aristotelia_chilensis,Aristotelia chilensis,NO_DEMONSTRATED_CONFLICT,NO,NO,NOT_IDENTIFIED,FAIL_CONFLICT_GATE,AGENT_INTERACTION_WITHOUT_SHARED_COORDINATE,Vazquez_Simberloff_2004_EcolMonogr,primary_source_grazing_pollination_context_not_same_coordinate_conflict,Grazing and pollination are jointly studied across sites; no shared trait with opposing function-specific optima is identified.
6,U1_006,Berberis_darwinii,Berberis darwinii,NO_DEMONSTRATED_CONFLICT,NO,NO,NOT_IDENTIFIED,FAIL_CONFLICT_GATE,AGENT_INTERACTION_WITHOUT_SHARED_COORDINATE,Vazquez_Simberloff_2004_EcolMonogr,primary_source_grazing_pollination_context_not_same_coordinate_conflict,Grazing and pollination are jointly studied across sites; no shared trait with opposing function-specific optima is identified.
7,U1_007,Bouvardia_ternifolia,Bouvardia ternifolia,NO_DEMONSTRATED_CONFLICT,NO,NO,NOT_IDENTIFIED,FAIL_CONFLICT_GATE,MULTIPLE_ANTAGONISTS_WITHOUT_SHARED_COORDINATE,SalinasEsquivel_Lara_Arizmendi_2018_BotSci,primary_source_multiple_antagonists_and_reproduction_not_same_coordinate_conflict,Nectar larceny foliar herbivory seed predation and reproductive output are measured but a common trait under opposing demands is not isolated.
8,U1_008,Brassica_napus,Brassica napus,NO_DEMONSTRATED_CONFLICT,NO,NO,NOT_IDENTIFIED,FAIL_CONFLICT_GATE,DAMAGE_OR_OCCUPANCY_EFFECT_ON_VISITATION,Kirk_Ali_Breadmore_1995_JApicRes,primary_source_beetle_presence_affects_bee_foraging_not_opposing_trait_demands,Pollen beetles and their damage alter honey-bee landing/foraging; no plant trait optimum contrast is identified.
9,U1_009,Brassica_nigra,Brassica nigra,UNRESOLVED_CANDIDATE,PARTIAL,INDIRECT_OR_AMBIGUOUS,NOT_IDENTIFIED,HOLD_FOR_FULL_TEXT,CANDIDATE_DEFENCE_SIGNAL_TRADEOFF,Bruinsma_et_al_2014_JChemEcol,potential_tradeoff_explicit_but_same_coordinate_fitness_opposition_not_closed,Authors explicitly frame a potential trade-off between phytochemical herbivory responses and pollinator interactions; direct opposing selection or matched fitness optima on one coordinate are not established in the abstract-level screen.
10,U1_010,Calyptrogyne_ghiesbreghtiana,Calyptrogyne ghiesbreghtiana,NO_DEMONSTRATED_CONFLICT,NO,NO,NOT_IDENTIFIED,FAIL_CONFLICT_GATE,MULTIPLE_ECOLOGICAL_CONSTRAINTS_NOT_TRAIT_CONFLICT,Cunningham_1995_AJB,primary_source_pollination_and_floral_damage_constraints_not_opposing_trait_optima,Pollination can raise fruit initiation and floral damage can lower it; no shared plant trait is shown to have opposing function-specific preferred states.
11,U1_011,Cardus_thoermeri,Cardus thoermeri,NO_DEMONSTRATED_CONFLICT,NO,NO,NOT_IDENTIFIED,FAIL_CONFLICT_GATE,AGENT_INTERACTION_WITHOUT_SHARED_COORDINATE,Chalcoff_Lescano_Devegili_2019_PlantEcol,primary_source_aphid_ant_pollinator_context_not_same_coordinate_conflict,Aphid ant and pollinator-access effects are combined but the source does not identify opposing demands on one plant trait.
12,U1_012,Castilleja_indivisa,Castilleja indivisa,ALIGNED_NO_CONFLICT,YES,NO,NOT_IDENTIFIED,FAIL_CONFLICT_GATE,ALIGNED_EFFECTS_ON_SHARED_CHEMICAL_STATE,Adler_2000_AmNat,alkaloid_state_reduces_herbivory_and_increases_pollination_same_direction,Alkaloid uptake decreases herbivory and increases pollinator visitation and lifetime seed production; the two interaction channels align rather than oppose one another.
