cluster_id,sampling_frame_id,source_id,publication_year,system_taxon,domain,shared_structure,function_a,function_b,multifunctionality_status,conflict_status,conflict_strength_proxy,architecture_state,structural_differentiation,alternative_accessibility,functional_coupling,temporal_heterogeneity,spatial_heterogeneity,alternative_repertoire,context_axis,study_design,evidence_quality,source_count,adjudication_status,primary_model_eligible,exclusion_reason,source_basis,claim_ceiling,notes
Dalechampia_scandens_mexico_macro,PILOT_DISCOVERY_V1,PerezBarrales_2013_Oikos,2013,Dalechampia scandens,plant_reproductive,showy floral bract display,pollinator attraction,seed predator avoidance,YES,POSITIVE,HIGH,SHARED_INTEGRATED,false,UNRESOLVED,HIGH,UNRESOLVED,UNRESOLVED,UNRESOLVED,pollination_x_seed_predation,field selection with component fitness model,HIGH,1,SCREENED,false,,doi:10.1111/j.1600-0706.2013.20780.x,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Castilleja_linariaefolia_macro,PILOT_DISCOVERY_V1,Cariveau_2004_program,2004,Castilleja linariaefolia,plant_reproductive,floral calyx length,pollination,predispersal seed predator avoidance,YES,POSITIVE,UNRESOLVED,SHARED_INTEGRATED,false,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,pollination_x_seed_predation,field phenotypic selection,HIGH,1,SCREENED,false,,BALANCE_PATTERN_LEDGER_V1,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Polemonium_viscosum_macro,PILOT_DISCOVERY_V1,Galen_2001_Evolution,2001,Polemonium viscosum,plant_reproductive,corolla shape,bumblebee pollination,ant predator avoidance,YES,POSITIVE,HIGH,SHARED_INTEGRATED,false,UNRESOLVED,HIGH,UNRESOLVED,HIGH,UNRESOLVED,pollinator_x_ant_predation,trait manipulation plus field fitness model,HIGH,1,SCREENED,false,,doi:10.1111/j.0014-3820.2001.tb01314.x,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Gymnadenia_conopsea_macro,PILOT_DISCOVERY_V1,Sletvold_Moritz_Agren_2015_Ecology,2015,Gymnadenia conopsea,plant_reproductive,flowering phenology and floral morphology,pollination,herbivore avoidance,YES,POSITIVE,HIGH,SHARED_INTEGRATED,false,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,pollination_x_herbivory,2x2 factorial field experiment,HIGH,1,SCREENED,false,,doi:10.1890/14-0119.1,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Fragaria_vesca_macro,PILOT_DISCOVERY_V1,Egan_et_al_2021,2021,Fragaria vesca,plant_reproductive,inflorescence density and attraction-defense phenotype,pollinator attraction,herbivore avoidance,YES,POSITIVE,HIGH,SHARED_INTEGRATED,false,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,pollination_x_herbivory,full factorial common garden,HIGH,1,SCREENED,false,,PMC8645195,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Pedicularis_rex_macro,PILOT_DISCOVERY_V1,Sun_Armbruster_Huang_2016,2016,Pedicularis rex,plant_reproductive,corolla exsertion from cupular bracts,pollination,seed predator avoidance,YES,POSITIVE,HIGH,SHARED_INTEGRATED,false,UNRESOLVED,UNRESOLVED,UNRESOLVED,HIGH,UNRESOLVED,geographic_pollinator_x_seed_predator_pressure,14-population observational selection,HIGH,1,SCREENED,false,,PMC4970362,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Primula_veris_macro,PILOT_DISCOVERY_V1,Ehrlen_Kolb_program,2012,Primula veris,plant_reproductive,inflorescence height and floral optical traits,fruit and seed production,seed predator escape,YES,POSITIVE,UNRESOLVED,SHARED_INTEGRATED,false,UNRESOLVED,UNRESOLVED,UNRESOLVED,HIGH,UNRESOLVED,reproduction_x_seed_predation_x_canopy,multi-population selection and path analysis,HIGH,1,SCREENED,false,,Selection_on_plant_optical_traits_and_floral_scent_2012,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Peucedanum_multivittatum_macro,PILOT_DISCOVERY_V1,Kudo_Shibata_program,2025,Peucedanum multivittatum,plant_reproductive,floral sex allocation and phenology,male-female reproductive allocation,seed predator avoidance,YES,UNRESOLVED,UNRESOLVED,UNRESOLVED,unresolved,UNRESOLVED,UNRESOLVED,HIGH,HIGH,UNRESOLVED,phenology_x_antagonist_pressure,multi-year observational selection mosaic,MODERATE,1,SCREENED,false,,BALANCE_PEUCEDANUM_LONGITUDINAL_MOSAIC_V1,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Platycodon_grandiflorus_orientation_macro,PILOT_DISCOVERY_V1,Nakata_2022_program,2022,Platycodon grandiflorus,plant_reproductive,flower orientation,pollination,rain protection,YES,ALIGNED_NO_CONFLICT,NA,SHARED_INTEGRATED,false,NA,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,pollination_x_rain,flower orientation manipulation,HIGH,1,SCREENED,false,,SCH_BROAD_MULTIFUNCTIONAL_COMPROMISE_REALITY_CHECK_V1,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Abelia_grandiflora_orientation_macro,PILOT_DISCOVERY_V1,Yu_2021_PlantBiology,2021,Abelia x grandiflora,plant_reproductive,flower orientation,pollinator attraction and pollen transfer,rain protection,YES,NO_DEMONSTRATED_CONFLICT,UNRESOLVED,SHARED_INTEGRATED,false,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,pollination_x_rain,three-orientation field experiment,HIGH,1,SCREENED,false,,doi:10.1111/plb.13197,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Ipomopsis_aggregata_macro,PILOT_DISCOVERY_V1,Irwin_2006_AmNat,2006,Ipomopsis aggregata,plant_reproductive,floral display and nectar-access phenotype,pollinator attraction,nectar robber tolerance or avoidance,YES,UNRESOLVED,UNRESOLVED,SHARED_INTEGRATED,false,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,pollination_x_nectar_robbing,field selection and tolerance experiments,MODERATE,1,SCREENED,false,,doi:10.1086/499377,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Solanum_rostratum_heteranthery_macro,PILOT_DISCOVERY_V1,VallejoMarin_et_al_2009_JEB,2009,Solanum rostratum,plant_reproductive,pollen-bearing stamen system,pollen reward to pollinators,pollen export for fertilization,YES,POSITIVE,HIGH,PARTIAL_STRUCTURAL_DIFFERENTIATION,true,HIGH,MEDIUM,UNRESOLVED,UNRESOLVED,ONE,feeding_pollen_x_pollinating_pollen,flight-cage experiment plus evolutionary model,HIGH,1,SCREENED,false,,doi:10.1111/j.1420-9101.2009.01693.x,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Pinguicula_vallisneriifolia_macro,PILOT_DISCOVERY_V1,Zamora_1999_program,1999,Pinguicula vallisneriifolia,plant_reproductive,insect-attraction cue system across flower and trap,pollinator attraction,prey capture,YES,POSITIVE,HIGH,SPATIAL_COMPARTMENTALIZATION,false,UNRESOLVED,UNRESOLVED,UNRESOLVED,HIGH,UNRESOLVED,pollinator_prey_overlap_x_microenvironment,field pollinator-prey overlap and pollen limitation,HIGH,1,SCREENED,false,,Jurgens_et_al_2012_Biological_Reviews_summary_of_Zamora_1999,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Drosera_spatulata_macro,PILOT_DISCOVERY_V1,ElSayed_et_al_2016_SciRep,2016,Drosera spatulata,plant_reproductive,insect-attraction cue system across flower and trap,pollinator attraction,prey capture,YES,NO_DEMONSTRATED_CONFLICT,UNRESOLVED,SPATIAL_COMPARTMENTALIZATION,false,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,flower_trap_visual_spatial_separation,behavioural experiments plus volatile collection,HIGH,1,SCREENED,false,,doi:10.1038/srep21065,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Drosera_arcturi_macro,PILOT_DISCOVERY_V1,ElSayed_et_al_2016_SciRep,2016,Drosera arcturi,plant_reproductive,insect-attraction cue system across flower and trap,pollinator attraction,prey capture,YES,NO_DEMONSTRATED_CONFLICT,UNRESOLVED,SPATIAL_COMPARTMENTALIZATION,false,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,flower_trap_visual_spatial_separation,behavioural experiments plus volatile collection,HIGH,1,SCREENED,false,,doi:10.1038/srep21065,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Drosera_auriculata_macro,PILOT_DISCOVERY_V1,ElSayed_et_al_2016_SciRep,2016,Drosera auriculata,plant_reproductive,insect-attraction cue system across flower and trap,pollinator attraction,prey capture,YES,NO_DEMONSTRATED_CONFLICT,UNRESOLVED,REGULATORY_TEMPORAL_SEPARATION,false,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,flower_trap_chemical_cue_partition,volatile chemistry plus insect behaviour,HIGH,1,SCREENED,false,,doi:10.1038/srep21065,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Drosera_pauciflora_macro,PILOT_DISCOVERY_V1,Anderson_2010,2010,Drosera pauciflora,plant_reproductive,flower-trap display geometry,pollinator attraction,prey capture without pollinator loss,YES,NO_DEMONSTRATED_CONFLICT,UNRESOLVED,SHARED_INTEGRATED,false,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,scape_height_x_pollinator_capture,experimental flower-height manipulation,HIGH,1,SCREENED,false,,PMC2944978,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Drosera_makinoi_macro,PILOT_DISCOVERY_V1,Murza_et_al_2018_EcolRes,2018,Drosera makinoi,plant_reproductive,flower-trap insect interaction system,pollination,prey capture,YES,NO_DEMONSTRATED_CONFLICT,UNRESOLVED,SHARED_INTEGRATED,false,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,pollinator_prey_overlap_x_selfing,field pollinator and prey census,MODERATE,1,SCREENED,false,,doi:10.1007/s11284-018-1572-6,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
Drosera_toyoakensis_macro,PILOT_DISCOVERY_V1,Murza_et_al_2018_EcolRes,2018,Drosera toyoakensis,plant_reproductive,flower-trap insect interaction system,pollination,prey capture,YES,NO_DEMONSTRATED_CONFLICT,UNRESOLVED,SHARED_INTEGRATED,false,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,pollinator_prey_overlap_x_selfing,field pollinator and prey census,MODERATE,1,SCREENED,false,,doi:10.1007/s11284-018-1572-6,pilot_screen_only_not_primary_model,First-pass pilot coding; requires independent macro-codebook adjudication before analysis.
