anchor_id,stratum,candidate_system,source,anchor_signal,screening_use,status,claim_ceiling
P1_JURGENS_2012,plant_reproductive,carnivorous_plants,Jurgens_et_al_2012_Biological_Reviews,pollinator_prey_conflict_and_resolution_mechanisms,review_for_backward_forward_chaining,DISCOVERY_ONLY,not_macro_evidence_until_primary_system_readjudication
P1_ZAMORA_1999,plant_reproductive,Pinguicula_vallisneriifolia,Zamora_1999_Ecology,environment_dependent_pollinator_prey_interference,primary_candidate,DISCOVERY_ONLY,requires_macro_codebook_adjudication
P1_ELSAYED_2016,plant_reproductive,Drosera_spatulata_arcturi_auriculata,ElSayed_et_al_2016_Scientific_Reports,spatial_visual_chemical_separation_between_flower_and_trap_functions,comparative_candidate_family,DISCOVERY_ONLY,requires_species_or_comparative_unit_decision
P1_KESSLER_2009,plant_reproductive,floral_chemical_traits,Kessler_et_al_2009_Functional_Ecology,pollinator_herbivore_conflict_and_tissue_specific_resolution,review_case_anchor,DISCOVERY_ONLY,requires_primary_source_extraction
P1_DROSERA_HOOKERI_2026,plant_reproductive,Drosera_hookeri,Annals_of_Botany_2026_fatal_attraction,direct_pollinator_capture_during_flowering_with_weak_female_cost_due_to_selfing,primary_candidate,DISCOVERY_ONLY,recent_single_system_requires_full_adjudication
P2_RONCO_2021,animal_feeding,cichlid_oral_pharyngeal_jaws,Ronco_et_al_2021_Evolution_Letters,late_evolutionary_decoupling_across_Lake_Tanganyika_radiation,comparative_anchor,DISCOVERY_ONLY,do_not_flatten_240_species_without_species_level_extraction
P2_CONITH_2021,animal_feeding,cichlid_oral_pharyngeal_jaws,Conith_Albertson_2021_Nature_Communications,residual_evolutionary_and_genetic_coupling,negative_or_constraint_anchor,DISCOVERY_ONLY,use_to_prevent_one_sided_decoupling_coding
P2_PODOS_2001,animal_feeding_signalling,Darwins_finches_beak_song,Podos_2001_Nature,feeding_adaptation_correlated_with_vocal_performance_constraint,shared_architecture_candidate,DISCOVERY_ONLY,conflict_and_accessibility_require_independent_adjudication
P2_FRIEDMAN_2019,animal_feeding_signalling,Meliphagidae_beak_multifunctionality,Friedman_et_al_2019_Proceedings_B,beak_shape_associated_with_foraging_climate_and_song,multifunctional_radiation_anchor,DISCOVERY_ONLY,do_not_assume_conflict_from_multifunctionality
P3_DESMARAIS_2008,molecular_gene,anthocyanin_pathway_gene_duplication,Des_Marais_Rausher_2008_Nature,escape_from_adaptive_conflict_after_duplication,structural_differentiation_anchor,DISCOVERY_ONLY,requires_ancestral_function_pair_and_outcome_readjudication
P3_SIKOSEK_2012,molecular_gene,EAC_candidate_family,Sikosek_et_al_2012_PLoS_Genetics,EAC_conditions_weak_tradeoffs_and_mutational_robustness,review_theory_for_candidate_discovery,DISCOVERY_ONLY,not_an_empirical_cluster
P3_GAL1_GAL3,molecular_gene,Saccharomyces_GAL1_GAL3,existing_BALANCE_EMPTY_CLASS_TARGETED_RECOVERY_V1,bifunctional_ancestral_gene_to_duplicated_specialized_architecture,repository_seed,DISCOVERY_ONLY,recode_under_macro_sampling_frame_before_analysis
P3_HISA_TRPF,molecular_gene,Salmonella_HisA_TrpF,existing_BALANCE_HISA_TRPF_CROSS_DOMAIN_AUDIT_V1,generalist_and_duplicated_specialist_trajectories,repository_seed,DISCOVERY_ONLY,recode_under_macro_sampling_frame_before_analysis
P3_COGFP,molecular_gene,coGFP_dual_color_duplication,existing_BALANCE_EMPTY_CLASS_TARGETED_RECOVERY_V1,duplication_available_without_copy_specialization,repository_negative_resolution_seed,DISCOVERY_ONLY,recode_under_macro_sampling_frame_before_analysis
