citation_key,manuscript_role,system_taxon,source_identity,doi_or_archive,sections_supported,claim_ceiling
SLETVOLD_MORITZ_AGREN_2015,strict_Q1B_positive,Gymnadenia conopsea,Sletvold_Moritz_Agren_2015,10.1890/14-0119.1,Methods;Results;Figure2,pollinator_x_herbivore_factorial_conflict_not_direct_BALANCE_occupancy
EGAN_ETAL_2021,strict_Q1B_positive,Fragaria vesca,Egan_Muola_Parachnowitsch_Stenberg_2021,10.1002/evl3.262,Methods;Results;Figure2,diffuse_factorial_conflict_not_direct_BALANCE_occupancy
SOPER_GORDEN_ADLER_2018,strict_Q1B_positive,Impatiens capensis,Soper_Gorden_Adler_2018,10.1002/ajb2.1182,Methods;Results;Figure2,randomized_factorial_reanalysis_on_reproductive_component_not_direct_BALANCE_occupancy
SANTANGELO_THOMPSON_JOHNSON_2018,design_matched_negative,Trifolium repens,Santangelo_Thompson_Johnson_2018,10.1111/jeb.13392,Methods;Results;Figure2,negative_control_no_same_trait_Q1B_opposition
THOMSEN_SARGENT_2017,design_matched_negative,Lythrum salicaria,Thomsen_Sargent_2017,10.1093/aob/mcx026,Methods;Results;Figure2,effect_ready_negative_control_no_diffuse_same_trait_conflict
CAMPBELL_ETAL_2022,sequential_filter_boundary,Ipomopsis species and hybrids,Campbell_et_al_2022,10.1086/716740,Methods;Results;Discussion,sequential_filter_estimand_not_strict_Q1B
AGREN_ETAL_2013,discrete_morph_boundary,Primula farinosa,Agren_Hellstrom_Torang_Ehrlen_2013,10.1073/pnas.1301421110,Methods;Results;Discussion,discrete_morph_conflict_not_continuous_Q1B_beta
CHAPURLAT_ETAL_2019,attribution_boundary,Gymnadenia conopsea,Chapurlat_et_al_2019,10.1111/nph.15747,Methods;Results;Discussion,residual_nonpollinator_opposition_without_antagonist_attribution
PEREZ_BARRALES_2013,broad_pattern_conflict_without_splitting,Dalechampia scandens,Perez_Barrales_2013,source_audit_in_SCH,Results;Figure3,shared_trait_conflict_pattern_not_direct_BALANCE_occupancy
CARIVEAU_2004,broad_pattern_conflict_without_splitting,Castilleja linariaefolia,Cariveau_2004,source_audit_in_SCH,Results;Figure3,path_decomposed_conflict_not_direct_BALANCE_occupancy
GALEN_PROGRAM,broad_pattern_conflict_without_splitting,Polemonium viscosum,Galen_2000_2001_2011,10.1111/j.0014-3820.2001.tb01313.x;10.1086/657993,Results;Figure3,direct_function_conflict_and_context_dependence_not_direct_BALANCE_occupancy
KOLB_EHRLEN_PROGRAM,broad_pattern_conflict_without_splitting,Primula veris,Kolb_Ehrlen_2010_Ehrlen_BorgKarlson_Kolb_2012,10.1007/s10682-009-9316-2;10.1016/j.baae.2012.08.001,Results;Figure3,opposing_component_selection_not_direct_BALANCE_occupancy
SUN_ARMBRUSTER_HUANG_2016,broad_pattern_conflict_without_splitting,Pedicularis rex,Sun_Armbruster_Huang_2016_mcw097,primary_source_audit,Results;Figure3,geographic_opposing_selection_not_direct_BALANCE_occupancy
KUDO_SHIBATA_PROGRAM,sandwiched_transition_mosaic,Peucedanum multivittatum,Kudo_Shibata_2021_2025,source_adjudicated_longitudinal_program,Results;Figure3;Discussion,selection_mosaic_not_direct_BALANCE_occupancy
MIHAJLOVIC_2025,persistent_integration_with_alternative,Escherichia coli coGFP construct,Mihajlovic_2025,source_adjudicated_primary,Results;Figure3;Discussion,controlled_non_specialization_not_organismal_BALANCE_occupancy
HITTINGER_CARROLL_2007,direct_differentiation_boundary,Saccharomyces cerevisiae GAL1/GAL3,Hittinger_Carroll_2007,source_adjudicated_primary,Results;Figure3,adaptive_conflict_resolution_by_duplication_boundary_not_middle_regime
VALLEJO_MARIN_PROGRAM,boundary_crossing,Solanum spp.,VallejoMarin_2009_2010_Bohs_2007,source_adjudicated_program,Results;Figure3,repeated_shared_to_differentiated_transition_not_direct_fitness_threshold
ABDUL_RAHMAN_GRESHAM_2025,boundary_crossing,Saccharomyces cerevisiae GAP1/PUT4 CNV,Abdul_Rahman_Gresham_2025_preprint,preprint_source_audit,Results;Figure3,environment_regime_boundary_preprint_not_direct_BALANCE_threshold
NASVALL_ADLER_PROGRAM,unresolved_architecture_boundary,Salmonella enterica HisA/TrpF,Nasvall_2012_Adler_2014_Nasvall_Abdalaal_2026,source_adjudicated_program,Results;Figure3,architecture_boundary_candidate_not_matched_BALANCE_receipt
CICHLID_ARCHITECTURE_PROGRAM,unresolved_architecture_anchor,cichlid jaw systems,BALANCE_cichlid_architecture_anchor,source_adjudicated_comparative_program,Results;Figure3,architecture_state_anchor_not_direct_BALANCE_receipt
