sample_order,universe_record_id,dependency_group,taxon_raw,selection_rule,source_resolution_status,double_code_status
1,U2_016,Alpinia_kwangsiensis,Alpinia kwangsiensis,FIRST_20_DEPENDENCY_GROUPS_LEXICOGRAPHIC_BY_TAXON_AFTER_U2_SOURCE_CLOSURE,RESOLVED_PRIMARY,READY_FOR_INDEPENDENT_DOUBLE_CODING
2,U2_005,Asclepias_exaltata,Asclepias exaltata,FIRST_20_DEPENDENCY_GROUPS_LEXICOGRAPHIC_BY_TAXON_AFTER_U2_SOURCE_CLOSURE,RESOLVED_PRIMARY,READY_FOR_INDEPENDENT_DOUBLE_CODING
3,U2_004,Campsis_radicans,Campsis radicans,FIRST_20_DEPENDENCY_GROUPS_LEXICOGRAPHIC_BY_TAXON_AFTER_U2_SOURCE_CLOSURE,RESOLVED_PRIMARY,READY_FOR_INDEPENDENT_DOUBLE_CODING
4,U2_022,Chamaecrista_fasciculata_historical,Chamaecrista fasciculata (Todd: Cassia chamaecrista),FIRST_20_DEPENDENCY_GROUPS_LEXICOGRAPHIC_BY_TAXON_AFTER_U2_SOURCE_CLOSURE,RESOLVED_PRIMARY,READY_FOR_INDEPENDENT_DOUBLE_CODING
5,U2_008,Eichhornia_paniculata,Eichhornia paniculata,FIRST_20_DEPENDENCY_GROUPS_LEXICOGRAPHIC_BY_TAXON_AFTER_U2_SOURCE_CLOSURE,RESOLVED_PRIMARY,READY_FOR_INDEPENDENT_DOUBLE_CODING
6,U2_013,Epilobium_obcordatum,Epilobium obcordatum,FIRST_20_DEPENDENCY_GROUPS_LEXICOGRAPHIC_BY_TAXON_AFTER_U2_SOURCE_CLOSURE,RESOLVED_PRIMARY,READY_FOR_INDEPENDENT_DOUBLE_CODING
7,U2_015,Ipomopsis_aggregata,Ipomopsis aggregata,FIRST_20_DEPENDENCY_GROUPS_LEXICOGRAPHIC_BY_TAXON_AFTER_U2_SOURCE_CLOSURE,RESOLVED_PRIMARY,READY_FOR_INDEPENDENT_DOUBLE_CODING
8,U2_006,Mimulus_aurantiacus,Mimulus aurantiacus,FIRST_20_DEPENDENCY_GROUPS_LEXICOGRAPHIC_BY_TAXON_AFTER_U2_SOURCE_CLOSURE,RESOLVED_PRIMARY,READY_FOR_INDEPENDENT_DOUBLE_CODING
9,U2_001,Narcissus_assoanus,Narcissus assoanus,FIRST_20_DEPENDENCY_GROUPS_LEXICOGRAPHIC_BY_TAXON_AFTER_U2_SOURCE_CLOSURE,RESOLVED_PRIMARY,READY_FOR_INDEPENDENT_DOUBLE_CODING
10,U2_002,Narcissus_dubius,Narcissus dubius,FIRST_20_DEPENDENCY_GROUPS_LEXICOGRAPHIC_BY_TAXON_AFTER_U2_SOURCE_CLOSURE,RESOLVED_PRIMARY,READY_FOR_INDEPENDENT_DOUBLE_CODING
11,U2_011,Narcissus_triandrus,Narcissus triandrus,FIRST_20_DEPENDENCY_GROUPS_LEXICOGRAPHIC_BY_TAXON_AFTER_U2_SOURCE_CLOSURE,RESOLVED_PRIMARY,READY_FOR_INDEPENDENT_DOUBLE_CODING
12,U2_007,Polemonium_viscosum,Polemonium viscosum,FIRST_20_DEPENDENCY_GROUPS_LEXICOGRAPHIC_BY_TAXON_AFTER_U2_SOURCE_CLOSURE,RESOLVED_PRIMARY,READY_FOR_INDEPENDENT_DOUBLE_CODING
13,U2_003,Pontederia_cordata,Pontederia cordata,FIRST_20_DEPENDENCY_GROUPS_LEXICOGRAPHIC_BY_TAXON_AFTER_U2_SOURCE_CLOSURE,RESOLVED_PRIMARY,READY_FOR_INDEPENDENT_DOUBLE_CODING
14,U2_012,Pontederia_sagittata,Pontederia sagittata,FIRST_20_DEPENDENCY_GROUPS_LEXICOGRAPHIC_BY_TAXON_AFTER_U2_SOURCE_CLOSURE,RESOLVED_PRIMARY,READY_FOR_INDEPENDENT_DOUBLE_CODING
15,U2_010,Pseudowintera_colorata,Pseudowintera colorata,FIRST_20_DEPENDENCY_GROUPS_LEXICOGRAPHIC_BY_TAXON_AFTER_U2_SOURCE_CLOSURE,RESOLVED_PRIMARY,READY_FOR_INDEPENDENT_DOUBLE_CODING
16,U2_021,Solanum_rostratum_historical,Solanum rostratum,FIRST_20_DEPENDENCY_GROUPS_LEXICOGRAPHIC_BY_TAXON_AFTER_U2_SOURCE_CLOSURE,RESOLVED_PRIMARY,READY_FOR_INDEPENDENT_DOUBLE_CODING
17,U2_014,Turnera_ulmifolia,Turnera ulmifolia,FIRST_20_DEPENDENCY_GROUPS_LEXICOGRAPHIC_BY_TAXON_AFTER_U2_SOURCE_CLOSURE,RESOLVED_PRIMARY,READY_FOR_INDEPENDENT_DOUBLE_CODING
18,U2_018,Wachendorfia_brachyandra,Wachendorfia brachyandra,FIRST_20_DEPENDENCY_GROUPS_LEXICOGRAPHIC_BY_TAXON_AFTER_U2_SOURCE_CLOSURE,RESOLVED_PRIMARY,READY_FOR_INDEPENDENT_DOUBLE_CODING
19,U2_017,Wachendorfia_paniculata,Wachendorfia paniculata,FIRST_20_DEPENDENCY_GROUPS_LEXICOGRAPHIC_BY_TAXON_AFTER_U2_SOURCE_CLOSURE,RESOLVED_PRIMARY,READY_FOR_INDEPENDENT_DOUBLE_CODING
20,U2_019,Wachendorfia_parviflora,Wachendorfia parviflora,FIRST_20_DEPENDENCY_GROUPS_LEXICOGRAPHIC_BY_TAXON_AFTER_U2_SOURCE_CLOSURE,RESOLVED_PRIMARY,READY_FOR_INDEPENDENT_DOUBLE_CODING
