dependency_group,taxon_raw,universe_membership,u1_record_id,u1_screening_status,u1_source_status,u2_record_id,u2_screening_status,u2_source_status,overlap_status,union_frame_status
Aechmea_pectinata,Aechmea pectinata,U1,U1_001,SCREENED,RESOLVED_PRIMARY,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Alpinia_kwangsiensis,Alpinia kwangsiensis,U2,,NOT_IN_U1,NOT_IN_U1,U2_016,SCREENED,RESOLVED_PRIMARY,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Alstroemeria_aurea,Alstroemeria aurea,U1,U1_002,EXCLUDED,RESOLVED_PRIMARY,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Alstroemeria_ligtu_var_Simsii,Alstroemeria ligtu var. Simsii,U1,U1_003,SCREENED,RESOLVED_PRIMARY,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Alstroemeria_umbellata,Alstroemeria umbellata,U1,U1_004,EXCLUDED,RESOLVED_PRIMARY,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Aristotelia_chilensis,Aristotelia chilensis,U1,U1_005,EXCLUDED,RESOLVED_PRIMARY,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Asclepias_exaltata,Asclepias exaltata,U2,,NOT_IN_U1,NOT_IN_U1,U2_005,SCREENED,RESOLVED_PRIMARY,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Berberis_darwinii,Berberis darwinii,U1,U1_006,EXCLUDED,RESOLVED_PRIMARY,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Bouvardia_ternifolia,Bouvardia ternifolia,U1,U1_007,SCREENED,RESOLVED_PRIMARY,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Brassica_napus,Brassica napus,U1,U1_008,EXCLUDED,RESOLVED_PRIMARY,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Brassica_nigra,Brassica nigra,U1,U1_009,EXCLUDED,RESOLVED_PRIMARY,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Calyptrogyne_ghiesbreghtiana,Calyptrogyne ghiesbreghtiana,U1,U1_010,SCREENED,RESOLVED_PRIMARY,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Campsis_radicans,Campsis radicans,U2,,NOT_IN_U1,NOT_IN_U1,U2_004,SCREENED,RESOLVED_PRIMARY,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Cardus_thoermeri,Cardus thoermeri,U1,U1_011,EXCLUDED,RESOLVED_PRIMARY,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Castilleja_indivisa,Castilleja indivisa,U1,U1_012,SCREENED,RESOLVED_PRIMARY,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Centaurea_solstitialis,Centaurea solstitialis,U1,U1_013,SCREENED,RESOLVED_PRIMARY,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Centrosema_virginianum,Centrosema virginianum,U1,U1_014,SCREENED,RESOLVED_PRIMARY,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Chamaecrista_fasciculata_historical,Chamaecrista fasciculata (Todd: Cassia chamaecrista),U2,,NOT_IN_U1,NOT_IN_U1,U2_022,SCREENED,RESOLVED_PRIMARY,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Clarkia_xantiana_ssp_xantiana,Clarkia xantiana ssp. xantiana,U1,U1_015,EXCLUDED,RESOLVED_PRIMARY,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Cnidoscolus_acontifolius,Cnidoscolus acontifolius,U1,U1_016,EXCLUDED,RESOLVED_PRIMARY,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Cucumis_melo,Cucumis melo,U1,U1_017,EXCLUDED,RESOLVED_PRIMARY,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Cucumis_sativus,Cucumis sativus,U1,U1_018,EXCLUDED,RESOLVED_PRIMARY,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Cucurbita_moschata,Cucurbita moschata,U1,U1_019,EXCLUDED,RESOLVED_PRIMARY,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Cynanchum_diemii,Cynanchum diemii,U1,U1_020,EXCLUDED,RESOLVED_PRIMARY,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Eichhornia_paniculata,Eichhornia paniculata,U2,,NOT_IN_U1,NOT_IN_U1,U2_008,SCREENED,RESOLVED_PRIMARY,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Epilobium_obcordatum,Epilobium obcordatum,U2,,NOT_IN_U1,NOT_IN_U1,U2_013,SCREENED,RESOLVED_PRIMARY,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Eryngium_yuccifolium,Eryngium yuccifolium,U1,U1_021,UNSCREENED,SOURCE_RESOLUTION_PENDING,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Halimium_halimifolium,Halimium halimifolium,U1,U1_022,UNSCREENED,SOURCE_RESOLUTION_PENDING,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Heliconia_spathocircinata,Heliconia spathocircinata,U1,U1_023,UNSCREENED,SOURCE_RESOLUTION_PENDING,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Impatiens_capensis,Impatiens capensis,U1,U1_024,UNSCREENED,SOURCE_RESOLUTION_PENDING,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Ipomopsis_aggregata,Ipomopsis aggregata,U1;U2,U1_025,UNSCREENED,SOURCE_RESOLUTION_PENDING,U2_015,SCREENED,RESOLVED_PRIMARY,MULTI_UNIVERSE_SAME_DEPENDENCY_GROUP,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Ipomopsis_aggregata_subsp_candida,Ipomopsis aggregata subsp. candida,U1,U1_026,UNSCREENED,SOURCE_RESOLUTION_PENDING,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Isomeris_arborea,Isomeris arborea,U1,U1_027,UNSCREENED,SOURCE_RESOLUTION_PENDING,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Lepidium_papilliferum,Lepidium papilliferum,U1,U1_028,UNSCREENED,SOURCE_RESOLUTION_PENDING,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Linaria_dalmatica,Linaria dalmatica,U1,U1_029,UNSCREENED,SOURCE_RESOLUTION_PENDING,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Loasa_tricolor,Loasa tricolor,U1,U1_030,UNSCREENED,SOURCE_RESOLUTION_PENDING,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Mimulus_aurantiacus,Mimulus aurantiacus,U1;U2,U1_031,UNSCREENED,SOURCE_RESOLUTION_PENDING,U2_006,SCREENED,RESOLVED_PRIMARY,MULTI_UNIVERSE_SAME_DEPENDENCY_GROUP,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Myrmecophila_tibicinis,Myrmecophila tibicinis,U1,U1_032,UNSCREENED,SOURCE_RESOLUTION_PENDING,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Narcissus_assoanus,Narcissus assoanus,U2,,NOT_IN_U1,NOT_IN_U1,U2_001,SCREENED,RESOLVED_PRIMARY,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Narcissus_dubius,Narcissus dubius,U2,,NOT_IN_U1,NOT_IN_U1,U2_002,SCREENED,RESOLVED_PRIMARY,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Narcissus_triandrus,Narcissus triandrus,U2,,NOT_IN_U1,NOT_IN_U1,U2_011,SCREENED,RESOLVED_PRIMARY,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Oenothera_macrocarpa,Oenothera macrocarpa,U1,U1_033,UNSCREENED,SOURCE_RESOLUTION_PENDING,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Pastinaca_sativa,Pastinaca sativa,U1,U1_034,UNSCREENED,SOURCE_RESOLUTION_PENDING,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Pedicularis_gruina,Pedicularis gruina,U1,U1_035,UNSCREENED,SOURCE_RESOLUTION_PENDING,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Peraxilla_spp,Peraxilla spp.,U1,U1_036,UNSCREENED,SOURCE_RESOLUTION_PENDING,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Platanthera_bifolia,Platanthera bifolia,U1,U1_037,UNSCREENED,SOURCE_RESOLUTION_PENDING,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Polemonium_viscosum,Polemonium viscosum,U2,,NOT_IN_U1,NOT_IN_U1,U2_007,SCREENED,RESOLVED_PRIMARY,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Pontederia_cordata,Pontederia cordata,U2,,NOT_IN_U1,NOT_IN_U1,U2_003,SCREENED,RESOLVED_PRIMARY,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Pontederia_sagittata,Pontederia sagittata,U2,,NOT_IN_U1,NOT_IN_U1,U2_012,SCREENED,RESOLVED_PRIMARY,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Prosopis_flexuosa,Prosopis flexuosa,U1,U1_038,UNSCREENED,SOURCE_RESOLUTION_PENDING,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Pseudowintera_colorata,Pseudowintera colorata,U2,,NOT_IN_U1,NOT_IN_U1,U2_010,SCREENED,RESOLVED_PRIMARY,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Raphanus_raphanistrum,Raphanus raphanistrum,U1,U1_039,UNSCREENED,SOURCE_RESOLUTION_PENDING,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Ribes_magellanicum,Ribes magellanicum,U1,U1_040,UNSCREENED,SOURCE_RESOLUTION_PENDING,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Rudbeckia_hirta,Rudbeckia hirta,U1,U1_041,UNSCREENED,SOURCE_RESOLUTION_PENDING,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Solanum_rostratum_historical,Solanum rostratum,U2,,NOT_IN_U1,NOT_IN_U1,U2_021,SCREENED,RESOLVED_PRIMARY,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Trillium_grandiflorum,Trillium grandiflorum,U1,U1_042,UNSCREENED,SOURCE_RESOLUTION_PENDING,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Tristerix_aphyllus,Tristerix aphyllus,U1,U1_044,UNSCREENED,SOURCE_RESOLUTION_PENDING,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Turnera_ulmifolia,Turnera ulmifolia,U2,,NOT_IN_U1,NOT_IN_U1,U2_014,SCREENED,RESOLVED_PRIMARY,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
Verbascum_nigrum,Verbascum nigrum,U1,U1_043,UNSCREENED,SOURCE_RESOLUTION_PENDING,,NOT_IN_U2,NOT_IN_U2,SINGLE_UNIVERSE,FROZEN_SOURCE_CLOSED_U1_FULL47_PLUS_SOURCE_CLOSED_U2
