universe_record_id,dependency_group,taxon_raw,conflict_status,same_coordinate_evidence,opposing_demand_evidence,screen_decision,reason_code,source_basis,claim_ceiling,notes
U2_001,Narcissus_assoanus,Narcissus assoanus,UNRESOLVED_CANDIDATE,PARTIAL,INDIRECT_OR_AMBIGUOUS,HOLD_FOR_FULL_TEXT,STYLE_DIMORPHISM_WITHOUT_DIRECT_INTERFERENCE_TEST,Baker_Thompson_Barrett_2000,stigma_height_dimorphism_and_fitness_not_direct_male_female_interference,Style-morph fitness differences are documented but the registered source does not directly isolate sexual interference as the opposing-demand mechanism.
U2_002,Narcissus_dubius,Narcissus dubius,UNRESOLVED_CANDIDATE,PARTIAL,INDIRECT_OR_AMBIGUOUS,HOLD_FOR_FULL_TEXT,STYLE_DIMORPHISM_WITHOUT_DIRECT_INTERFERENCE_TEST,Baker_Thompson_Barrett_2000,stigma_height_dimorphism_and_fitness_not_direct_male_female_interference,Style-morph fitness differences are documented but the registered source does not directly isolate sexual interference as the opposing-demand mechanism.
U2_003,Pontederia_cordata,Pontederia cordata,NO_DEMONSTRATED_CONFLICT,YES,NO,FAIL_CONFLICT_GATE,EXPLICIT_INTERFERENCE_NULL,Barrett_Glover_1985_Evolution,controlled_tests_failed_to_show_pollen_stigma_or_stamen_stigma_interference,Prior incompatible pollen did not significantly reduce seed set and emasculation gave no evidence that stamens interfered with legitimate pollen receipt.
U2_004,Campsis_radicans,Campsis radicans,POSITIVE,YES,YES,PASS_CONFLICT_GATE,PRIOR_SELF_POLLEN_INTERFERENCE,Bertin_Sullivan_1988_AJB,review_and_primary_program_support_self_pollen_interference_with_female_function,Review synthesis reports negative fertility effects of prior self-pollination comparable to other direct interference experiments.
U2_005,Asclepias_exaltata,Asclepias exaltata,POSITIVE,YES,YES,PASS_CONFLICT_GATE,SELF_POLLEN_REDUCES_OUTCROSS_FERTILITY,Broyles_Wyatt_1993_AJB,direct_male_self_pollen_interference_with_female_outcross_fertility,Prior or simultaneous self pollination reduced fruit set relative to cross pollen alone and can waste pollen while reducing ovule/ovary availability.
U2_006,Mimulus_aurantiacus,Mimulus aurantiacus,POSITIVE,YES,YES,PASS_CONFLICT_GATE,FEMALE_ORGAN_INTERFERES_WITH_MALE_EXPORT,Fetscher_2001_ProcB,direct_experimental_male_female_interference_and_resolution,Preventing stigma closure reduces pollen export; stigma closure experimentally removes female-organ interference with male function.
U2_007,Polemonium_viscosum,Polemonium viscosum,POSITIVE,YES,YES,PASS_CONFLICT_GATE,SELF_POLLEN_INTERFERES_WITH_OUTCROSS_POLLEN,Galen_Gregory_Galloway_1989_AJB,direct_self_pollen_interference_with_outcross_germination_and_seed_set,Prior self pollen reduced compatible pollen germination and in one year reduced seed set supporting selection for temporal/spatial segregation.
U2_008,Eichhornia_paniculata,Eichhornia paniculata,POSITIVE,YES,YES,PASS_CONFLICT_GATE,GEITONOGAMOUS_POLLEN_DISCOUNTING,Harder_Barrett_1995_Nature;Harder_Barrett_Cole_2000_ProcB,direct_interfloral_male_female_mating_cost_and_experimental_relief,Large displays increase selfing and reduce outcrossed siring success; experimental sexual segregation can lower geitonogamy and increase outcross siring success.
U2_009,Wahlenbergia_albomarginata,Wahlenbergia albomarginata,UNRESOLVED_CANDIDATE,PARTIAL,INDIRECT_OR_AMBIGUOUS,HOLD_FOR_FULL_TEXT,POLLEN_STIGMA_SEGREGATION_WITHOUT_REGISTERED_DIRECT_COST,Lloyd_Yates_1982_Evolution,segregation_hypothesis_requires_direct_interference_cost_adjudication,The source addresses pollen/stigma segregation and intrasexual selection but the present screen does not recover a direct matched interference cost.
U2_010,Pseudowintera_colorata,Pseudowintera colorata,UNRESOLVED_CANDIDATE,UNRESOLVED,INDIRECT_OR_AMBIGUOUS,HOLD_FOR_FULL_TEXT,REPRODUCTIVE_BIOLOGY_ONLY,Lloyd_Wells_1992_PSE,review_cited_reproductive_biology_requires_mechanism_adjudication,The review-cited reproductive-biology source is insufficient by itself to promote a sexual-interference conflict.
U2_011,Narcissus_triandrus,Narcissus triandrus,NO_DEMONSTRATED_CONFLICT,PARTIAL,NO,FAIL_CONFLICT_GATE,SELF_STERILITY_NOT_INTERFERENCE,Sage_Strumas_Cole_Barrett_1999_AJB,self_cross_seed_difference_does_not_by_itself_identify_male_female_interference,Self pollination gives lower seed set and distinct ovule-development outcomes but a direct self-pollen interference cost on subsequent outcross function is not identified in the registered source.
U2_012,Pontederia_sagittata,Pontederia sagittata,POSITIVE,YES,YES,PASS_CONFLICT_GATE,PRIOR_SELF_POLLEN_REDUCES_OUTCROSS_SEED_SET,Scribailo_Barrett_1994_SPR,direct_pollen_pistil_interference_with_morph_specific_strength,Prior self pollen reduces subsequent compatible seed set especially in long-styled morphs providing direct biochemical interference evidence.
U2_013,Epilobium_obcordatum,Epilobium obcordatum,POSITIVE,YES,YES,PASS_CONFLICT_GATE,SELF_POLLEN_CHASE_INTERFERENCE,Seavey_Carter_1993_AJB,direct_prior_or_simultaneous_self_pollen_reduces_cross_seed_set,Pollen-chase tests show previous or simultaneous self pollen can reduce seed set to self-pollination levels.
U2_014,Turnera_ulmifolia,Turnera ulmifolia,NO_DEMONSTRATED_CONFLICT,YES,NO,FAIL_CONFLICT_GATE,EXPLICIT_PRIOR_SELF_POLLEN_NULL,Shore_Barrett_1984_CanJBot,controlled_test_found_little_effect_of_prior_incompatible_pollen_on_seed_set,The review reports little influence of prior self pollination on seed set making this a direct specificity/null case.
U2_015,Ipomopsis_aggregata,Ipomopsis aggregata,POSITIVE,YES,YES,PASS_CONFLICT_GATE,SELF_POLLEN_REPRODUCTIVE_COST,Waser_Price_1991_AJB,direct_reproductive_cost_of_self_pollen_on_outcross_function,Review synthesis groups this experiment with direct cases where self pollen reduces fertility and the primary study tests whether self pollen usurps ovules.
U2_016,Alpinia_kwangsiensis,Alpinia kwangsiensis,UNRESOLVED_CANDIDATE,PARTIAL,INDIRECT_OR_AMBIGUOUS,HOLD_FOR_FULL_TEXT,FLEXISTYLY_AVOIDS_SELFING_BUT_INTERFERENCE_NOT_ISOLATED,Li_et_al_2001_Nature,architecture_is_clear_but_sexual_interference_mechanism_not_separated_from_anti_selfing,Flexistyly moves the stigma away during pollen release and promotes outcrossing but the registered source does not separately identify male-female interference from anti-selfing benefits.
U2_017,Wachendorfia_paniculata,Wachendorfia paniculata,UNRESOLVED_CANDIDATE,PARTIAL,INDIRECT_OR_AMBIGUOUS,HOLD_FOR_FULL_TEXT,ENANTIOSTYLY_MAINTENANCE_NOT_DIRECT_INTERFERENCE,Jesson_Barrett_2002_AJB,enantiostyly_and_mating_system_evidence_not_direct_conflict_cost,Enantiostyly is associated with reproductive-system variation but the source does not directly quantify interference between sex functions.
U2_018,Wachendorfia_brachyandra,Wachendorfia brachyandra,UNRESOLVED_CANDIDATE,PARTIAL,INDIRECT_OR_AMBIGUOUS,HOLD_FOR_FULL_TEXT,ENANTIOSTYLY_MAINTENANCE_NOT_DIRECT_INTERFERENCE,Jesson_Barrett_2002_AJB,enantiostyly_and_mating_system_evidence_not_direct_conflict_cost,Enantiostyly is associated with reproductive-system variation but the source does not directly quantify interference between sex functions.
