cluster_id,dependency_group,sampling_frame_id,unit_type,source_id,publication_year,system_taxon,conflict_family,shared_structure,function_a,function_b,conflict_status,architecture_mode,structural_module_division,module_substrate,conflict_timing_geometry,conflict_spatial_geometry,self_compatibility,autonomous_selfing,pollinator_dependence,life_history,study_design,evidence_quality,adjudication_status,primary_model_eligible,exclusion_reason,source_basis,claim_ceiling,notes
U1_Aechmea_pectinata_screen,Aechmea_pectinata,U1_HAAS_LORTIE_2020_PROVISIONAL_FIRST20,SPECIES,Canela_Sazima_2003_Biotropica_florivory,2003,Aechmea pectinata,POLLINATOR_ANTAGONIST,"flower-level corolla, stamens and stigma visited by hummingbirds and damaged by florivorous crabs",animal-mediated pollination,antagonist avoidance or tolerance,NO_DEMONSTRATED_CONFLICT,SHARED_INTEGRATED,false,MULTILEVEL,SIMULTANEOUS,SAME_UNIT,UNRESOLVED,UNRESOLVED,HIGH,UNRESOLVED,field florivory and hummingbird-visitation observations,HIGH,SCREENED,false,,10.1111/j.1744-7429.2003.tb00287.x,u1_provisional_first20_source_screen_not_full47_not_independently_adjudicated,"Florivory directly damages the same flowers used by hummingbirds and reduces visits, but the source does not show opposing preferred states of a heritable floral coordinate; retained as same-unit no-demonstrated-conflict specificity case."
U1_Alstroemeria_ligtu_var_Simsii_screen,Alstroemeria_ligtu_var_Simsii,U1_HAAS_LORTIE_2020_PROVISIONAL_FIRST20,SPECIES,Botto_Mahan_et_al_2011,2011,Alstroemeria ligtu var. Simsii,POLLINATOR_ANTAGONIST,yellow nectar-guide tepal phenotype,pollinator attraction,florivore avoidance,NO_DEMONSTRATED_CONFLICT,SHARED_INTEGRATED,false,SINGLE_OR_CONTINUOUS,SIMULTANEOUS,SAME_UNIT,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,floral-part removal experiment with pollinator visitation and reproduction,HIGH,SCREENED,false,,10.1086/662029,u1_provisional_first20_source_screen_not_full47_not_independently_adjudicated,"Nectar-guide damage reduces pollinator attraction and reproductive success. The source establishes shared floral function/damage but not that florivores select for a contrasting nectar-guide state, so conflict is not promoted."
U1_Bouvardia_ternifolia_screen,Bouvardia_ternifolia,U1_HAAS_LORTIE_2020_PROVISIONAL_FIRST20,SPECIES,Salinas_Esquivel_Lara_Arizmendi_2018,2018,Bouvardia ternifolia,POLLINATOR_ANTAGONIST,distylous floral morph and floral display phenotype,pollinator attraction and legitimate pollen flow,antagonist exposure,NO_DEMONSTRATED_CONFLICT,POLYMORPHIC_OR_MOSAIC,unresolved,MULTILEVEL,SIMULTANEOUS,SAME_UNIT,SELF_INCOMPATIBLE,UNRESOLVED,UNRESOLVED,UNRESOLVED,"field comparison of floral morphs, antagonists, fruit and seed output",HIGH,SCREENED,false,,10.17129/botsci.1031,u1_provisional_first20_source_screen_not_full47_not_independently_adjudicated,"Antagonist intensity, floral display, fruit and seed production were similar between morphs. Retained as a floral-polymorphism specificity control rather than a conflict-positive case."
U1_Calyptrogyne_ghiesbreghtiana_screen,Calyptrogyne_ghiesbreghtiana,U1_HAAS_LORTIE_2020_PROVISIONAL_FIRST20,SPECIES,Cunningham_1995,1995,Calyptrogyne ghiesbreghtiana,POLLINATOR_ANTAGONIST,inflorescence display and flowers,bat pollination,floral herbivore exposure,UNRESOLVED,SHARED_INTEGRATED,false,MULTILEVEL,SIMULTANEOUS,SAME_UNIT,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,"two-season field observations of floral display, bat visitation, insect damage and fruit initiation",HIGH,SCREENED,false,,10.1002/j.1537-2197.1995.tb13855.x,u1_provisional_first20_source_screen_not_full47_not_independently_adjudicated,"Bats pollinate while katydids/scarab beetles damage flowers; display covaries with both beneficial and damaging visitation, but the primary source does not establish one identical display coordinate with directly opposing optima."
U1_Castilleja_indivisa_screen,Castilleja_indivisa,U1_HAAS_LORTIE_2020_PROVISIONAL_FIRST20,SPECIES,Adler_2000_AmNat,2000,Castilleja indivisa,POLLINATOR_ANTAGONIST,host-derived alkaloid chemical phenotype expressed in the focal plant,pollinator attraction,herbivore resistance,ALIGNED_NO_CONFLICT,SHARED_INTEGRATED,false,MULTILEVEL,SIMULTANEOUS,MIXED,UNRESOLVED,UNRESOLVED,UNRESOLVED,ANNUAL,"in planta secondary-compound manipulation with herbivory, pollinator visitation and lifetime seed production",HIGH,SCREENED,false,,10.1086/303374,u1_provisional_first20_source_screen_not_full47_not_independently_adjudicated,Higher alkaloid uptake decreased herbivory and increased pollinator visitation and lifetime seed production. This is an explicit aligned multifunctional control: the two agents do not impose the registered opposing direction.
U1_Centaurea_solstitialis_screen,Centaurea_solstitialis,U1_HAAS_LORTIE_2020_PROVISIONAL_FIRST20,SPECIES,Swope_2014_Oecologia,2014,Centaurea solstitialis,POLLINATOR_ANTAGONIST,inflorescence number and display,pollinator service,pathogen-associated reproductive cost,NO_DEMONSTRATED_CONFLICT,SHARED_INTEGRATED,false,REPEATED_FLOWERS,CONTEXT_DEPENDENT,SAME_UNIT,UNRESOLVED,UNRESOLVED,HIGH,UNRESOLVED,factorial pathogen infection by pollen supplementation across soil-moisture contexts,HIGH,SCREENED,false,,10.1007/s00442-013-2750-4,u1_provisional_first20_source_screen_not_full47_not_independently_adjudicated,"Pathogen infection reduces inflorescence number and can increase pollen limitation, but the source does not show antagonist selection favouring an opposing inflorescence-number state."
U1_Centrosema_virginianum_screen,Centrosema_virginianum,U1_HAAS_LORTIE_2020_PROVISIONAL_FIRST20,SPECIES,Cardel_Koptur_2010,2010,Centrosema virginianum,POLLINATOR_ANTAGONIST,individual flower display and reward system,bee pollination,florivore damage avoidance,NO_DEMONSTRATED_CONFLICT,SHARED_INTEGRATED,false,SINGLE_OR_CONTINUOUS,SIMULTANEOUS,SAME_UNIT,SELF_COMPATIBLE,UNRESOLVED,HIGH,UNRESOLVED,field flower-damage experiment with pollinator visits and fruit/seed set,HIGH,SCREENED,false,,10.1086/650154,u1_provisional_first20_source_screen_not_full47_not_independently_adjudicated,"Florivory reduces visits and reproduction in the same flowers, but damage itself does not establish a contrasting antagonist-preferred floral phenotype. Retained as same-unit no-demonstrated-conflict case."
U1_Alstroemeria_aurea_screen,Alstroemeria_aurea,U1_HAAS_LORTIE_2020_PROVISIONAL_FIRST20,SPECIES,Aizen_Raffaele_1998,1998,Alstroemeria aurea,POLLINATOR_ANTAGONIST,no single shared reproductive coordinate identified by the primary source,animal-mediated pollination,antagonist avoidance or tolerance,UNRESOLVED,NA,na,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,source-resolved U1 interaction study,HIGH,EXCLUDED,false,EXCLUDE_DIFFERENT_TRAITS_NO_SHARED_REPRODUCTIVE_COORDINATE,10.1890/0012-9658(1998)079[2133:FSDAPG]2.0.CO;2,u1_provisional_first20_source_screen_not_full47_not_independently_adjudicated,"flowering-shoot defoliation affects pollen size/performance; herbivory is on leaves while the measured reproductive response is pollen performance. Excluded at S0 from the BALANCE shared-coordinate lane, but retained in the review-universe denominator."
U1_Alstroemeria_umbellata_screen,Alstroemeria_umbellata,U1_HAAS_LORTIE_2020_PROVISIONAL_FIRST20,SPECIES,Valdivia_Niemeyer_2005,2005,Alstroemeria umbellata,POLLINATOR_ANTAGONIST,no single shared reproductive coordinate identified by the primary source,animal-mediated pollination,antagonist avoidance or tolerance,UNRESOLVED,NA,na,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,source-resolved U1 interaction study,HIGH,EXCLUDED,false,EXCLUDE_DIFFERENT_TRAITS_NO_SHARED_REPRODUCTIVE_COORDINATE,Valdivia_Niemeyer_2005_NZJE,u1_provisional_first20_source_screen_not_full47_not_independently_adjudicated,"aphid presence and pollinator exclusion interact on seed set, but the source manipulates agents rather than one shared reproductive trait coordinate. Excluded at S0 from the BALANCE shared-coordinate lane, but retained in the review-universe denominator."
U1_Aristotelia_chilensis_screen,Aristotelia_chilensis,U1_HAAS_LORTIE_2020_PROVISIONAL_FIRST20,SPECIES,Vazquez_Simberloff_2004,2004,Aristotelia chilensis,POLLINATOR_ANTAGONIST,no single shared reproductive coordinate identified by the primary source,animal-mediated pollination,antagonist avoidance or tolerance,UNRESOLVED,NA,na,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,source-resolved U1 interaction study,HIGH,EXCLUDED,false,EXCLUDE_DIFFERENT_TRAITS_NO_SHARED_REPRODUCTIVE_COORDINATE,10.1890/02-4055,u1_provisional_first20_source_screen_not_full47_not_independently_adjudicated,"introduced-ungulate grazing and pollination are compared across sites; no single shared reproductive coordinate is manipulated or identified. Excluded at S0 from the BALANCE shared-coordinate lane, but retained in the review-universe denominator."
U1_Berberis_darwinii_screen,Berberis_darwinii,U1_HAAS_LORTIE_2020_PROVISIONAL_FIRST20,SPECIES,Vazquez_Simberloff_2004,2004,Berberis darwinii,POLLINATOR_ANTAGONIST,no single shared reproductive coordinate identified by the primary source,animal-mediated pollination,antagonist avoidance or tolerance,UNRESOLVED,NA,na,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,source-resolved U1 interaction study,HIGH,EXCLUDED,false,EXCLUDE_DIFFERENT_TRAITS_NO_SHARED_REPRODUCTIVE_COORDINATE,10.1890/02-4055,u1_provisional_first20_source_screen_not_full47_not_independently_adjudicated,"introduced-ungulate grazing and pollination are compared across sites; no single shared reproductive coordinate is manipulated or identified. Excluded at S0 from the BALANCE shared-coordinate lane, but retained in the review-universe denominator."
U1_Brassica_napus_screen,Brassica_napus,U1_HAAS_LORTIE_2020_PROVISIONAL_FIRST20,SPECIES,Kirk_Ali_Breadmore_1995,1995,Brassica napus,POLLINATOR_ANTAGONIST,no single shared reproductive coordinate identified by the primary source,animal-mediated pollination,antagonist avoidance or tolerance,UNRESOLVED,NA,na,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,source-resolved U1 interaction study,HIGH,EXCLUDED,false,EXCLUDE_DIFFERENT_TRAITS_NO_SHARED_REPRODUCTIVE_COORDINATE,10.1080/00218839.1995.11100881,u1_provisional_first20_source_screen_not_full47_not_independently_adjudicated,"pollen beetle occupancy/damage deters honey-bee landings, but beetle presence is not a plant reproductive trait coordinate. Excluded at S0 from the BALANCE shared-coordinate lane, but retained in the review-universe denominator."
U1_Brassica_nigra_screen,Brassica_nigra,U1_HAAS_LORTIE_2020_PROVISIONAL_FIRST20,SPECIES,Bruinsma_et_al_2014,2014,Brassica nigra,POLLINATOR_ANTAGONIST,no single shared reproductive coordinate identified by the primary source,animal-mediated pollination,antagonist avoidance or tolerance,UNRESOLVED,NA,na,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,source-resolved U1 interaction study,HIGH,EXCLUDED,false,EXCLUDE_DIFFERENT_TRAITS_NO_SHARED_REPRODUCTIVE_COORDINATE,10.1007/s10886-013-0369-x,u1_provisional_first20_source_screen_not_full47_not_independently_adjudicated,"leaf folivory induces downstream floral chemistry and pollinator-behaviour changes; no single shared reproductive coordinate is manipulated. Excluded at S0 from the BALANCE shared-coordinate lane, but retained in the review-universe denominator."
U1_Cardus_thoermeri_screen,Cardus_thoermeri,U1_HAAS_LORTIE_2020_PROVISIONAL_FIRST20,SPECIES,Chalcoff_Lescano_Devegili_2019,2019,Carduus thoermeri,POLLINATOR_ANTAGONIST,no single shared reproductive coordinate identified by the primary source,animal-mediated pollination,antagonist avoidance or tolerance,UNRESOLVED,NA,na,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,source-resolved U1 interaction study,HIGH,EXCLUDED,false,EXCLUDE_DIFFERENT_TRAITS_NO_SHARED_REPRODUCTIVE_COORDINATE,10.1007/s11258-019-00907-2,u1_provisional_first20_source_screen_not_full47_not_independently_adjudicated,"aphids/ants and pollinator access affect reproduction, but the design is an agent-context experiment rather than a shared plant trait-coordinate test. Excluded at S0 from the BALANCE shared-coordinate lane, but retained in the review-universe denominator."
U1_Clarkia_xantiana_ssp_xantiana_screen,Clarkia_xantiana_ssp_xantiana,U1_HAAS_LORTIE_2020_PROVISIONAL_FIRST20,SPECIES,Benning_Moeller_2019,2019,Clarkia xantiana ssp. xantiana,POLLINATOR_ANTAGONIST,no single shared reproductive coordinate identified by the primary source,animal-mediated pollination,antagonist avoidance or tolerance,UNRESOLVED,NA,na,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,source-resolved U1 interaction study,HIGH,EXCLUDED,false,EXCLUDE_DIFFERENT_TRAITS_NO_SHARED_REPRODUCTIVE_COORDINATE,10.1111/evo.13836,u1_provisional_first20_source_screen_not_full47_not_independently_adjudicated,"herbivore protection and pollen supplementation alter lifetime fitness across range contexts; no shared reproductive coordinate links the two functions. Excluded at S0 from the BALANCE shared-coordinate lane, but retained in the review-universe denominator."
U1_Cnidoscolus_acontifolius_screen,Cnidoscolus_acontifolius,U1_HAAS_LORTIE_2020_PROVISIONAL_FIRST20,SPECIES,Arceo_Gomez_Parra_Tabla_Navarro_2009,2009,Cnidoscolus aconitifolius,POLLINATOR_ANTAGONIST,no single shared reproductive coordinate identified by the primary source,animal-mediated pollination,antagonist avoidance or tolerance,UNRESOLVED,NA,na,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,source-resolved U1 interaction study,HIGH,EXCLUDED,false,EXCLUDE_DIFFERENT_TRAITS_NO_SHARED_REPRODUCTIVE_COORDINATE,10.1111/j.1744-7429.2009.00502.x,u1_provisional_first20_source_screen_not_full47_not_independently_adjudicated,"leaf defoliation changes male-flower production, but pollinator visitation is unaffected and herbivory acts on vegetative tissue rather than the same reproductive coordinate. Excluded at S0 from the BALANCE shared-coordinate lane, but retained in the review-universe denominator."
U1_Cucumis_melo_screen,Cucumis_melo,U1_HAAS_LORTIE_2020_PROVISIONAL_FIRST20,SPECIES,Strauss_Murch_2004,2004,Cucumis melo,POLLINATOR_ANTAGONIST,no single shared reproductive coordinate identified by the primary source,animal-mediated pollination,antagonist avoidance or tolerance,UNRESOLVED,NA,na,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,source-resolved U1 interaction study,HIGH,EXCLUDED,false,EXCLUDE_DIFFERENT_TRAITS_NO_SHARED_REPRODUCTIVE_COORDINATE,10.1111/j.0307-6946.2004.00587.x,u1_provisional_first20_source_screen_not_full47_not_independently_adjudicated,"damage and supplemental pollination are independently manipulated to study tolerance; no shared reproductive trait coordinate is identified. Excluded at S0 from the BALANCE shared-coordinate lane, but retained in the review-universe denominator."
U1_Cucumis_sativus_screen,Cucumis_sativus,U1_HAAS_LORTIE_2020_PROVISIONAL_FIRST20,SPECIES,Barber_Adler_Bernardo_2011,2011,Cucumis sativus,POLLINATOR_ANTAGONIST,no single shared reproductive coordinate identified by the primary source,animal-mediated pollination,antagonist avoidance or tolerance,UNRESOLVED,NA,na,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,source-resolved U1 interaction study,HIGH,EXCLUDED,false,EXCLUDE_DIFFERENT_TRAITS_NO_SHARED_REPRODUCTIVE_COORDINATE,10.1007/s00442-010-1779-x,u1_provisional_first20_source_screen_not_full47_not_independently_adjudicated,"above- and below-ground herbivory are crossed with pollination; no single shared reproductive coordinate is identified. Excluded at S0 from the BALANCE shared-coordinate lane, but retained in the review-universe denominator."
U1_Cucurbita_moschata_screen,Cucurbita_moschata,U1_HAAS_LORTIE_2020_PROVISIONAL_FIRST20,SPECIES,Hladun_Adler_2009,2009,Cucurbita moschata,POLLINATOR_ANTAGONIST,no single shared reproductive coordinate identified by the primary source,animal-mediated pollination,antagonist avoidance or tolerance,UNRESOLVED,NA,na,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,source-resolved U1 interaction study,HIGH,EXCLUDED,false,EXCLUDE_DIFFERENT_TRAITS_NO_SHARED_REPRODUCTIVE_COORDINATE,10.1111/j.1365-2311.2008.01060.x,u1_provisional_first20_source_screen_not_full47_not_independently_adjudicated,"leaf/root herbivory do not alter pollinator visitation or floral traits; herbivory and pollination act through distinct routes. Excluded at S0 from the BALANCE shared-coordinate lane, but retained in the review-universe denominator."
U1_Cynanchum_diemii_screen,Cynanchum_diemii,U1_HAAS_LORTIE_2020_PROVISIONAL_FIRST20,SPECIES,Vazquez_Simberloff_2004,2004,Cynanchum diemii,POLLINATOR_ANTAGONIST,no single shared reproductive coordinate identified by the primary source,animal-mediated pollination,antagonist avoidance or tolerance,UNRESOLVED,NA,na,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,source-resolved U1 interaction study,HIGH,EXCLUDED,false,EXCLUDE_DIFFERENT_TRAITS_NO_SHARED_REPRODUCTIVE_COORDINATE,10.1890/02-4055,u1_provisional_first20_source_screen_not_full47_not_independently_adjudicated,"grazing-site differences and pollination are compared, but no single shared reproductive coordinate is manipulated or identified. Excluded at S0 from the BALANCE shared-coordinate lane, but retained in the review-universe denominator."
