cluster_id,dependency_group,sampling_frame_id,unit_type,source_id,publication_year,system_taxon,conflict_family,shared_structure,function_a,function_b,conflict_status,architecture_mode,structural_module_division,module_substrate,conflict_timing_geometry,conflict_spatial_geometry,self_compatibility,autonomous_selfing,pollinator_dependence,life_history,study_design,evidence_quality,adjudication_status,primary_model_eligible,exclusion_reason,source_basis,claim_ceiling,notes
U2_Narcissus_assoanus_screen,Narcissus_assoanus,U2_BARRETT_2002_PROVISIONAL_SCREEN,SPECIES,Baker_et_al_2000_Heredity_I_II,2000,Narcissus assoanus,SEXUAL_INTERFERENCE,stigma-height and anther-position floral system,pollen export,compatible pollen receipt,UNRESOLVED,POLYMORPHIC_OR_MOSAIC,unresolved,SERIAL_WITHIN_FLOWER,UNRESOLVED,SAME_UNIT,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,population morph-frequency and controlled-pollination studies,HIGH,SCREENED,false,,10.1046/j.1365-2540.2000.00651.x;10.1046/j.1365-2540.2000.00686.x,u2_review_defined_source_screen_not_independently_double_coded,"Style-height dimorphism is clear, but the review-linked studies do not by themselves identify a direct male-female interference cost."
U2_Narcissus_dubius_screen,Narcissus_dubius,U2_BARRETT_2002_PROVISIONAL_SCREEN,SPECIES,Baker_et_al_2000_Heredity_I_II,2000,Narcissus dubius,SEXUAL_INTERFERENCE,stigma-height and anther-position floral system,pollen export,compatible pollen receipt,UNRESOLVED,POLYMORPHIC_OR_MOSAIC,unresolved,SERIAL_WITHIN_FLOWER,UNRESOLVED,SAME_UNIT,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,population morph-frequency and controlled-pollination studies,HIGH,SCREENED,false,,10.1046/j.1365-2540.2000.00651.x;10.1046/j.1365-2540.2000.00686.x,u2_review_defined_source_screen_not_independently_double_coded,Retained as morphology/mating-system evidence without promoting the mechanism to direct interference.
U2_Pontederia_cordata_screen,Pontederia_cordata,U2_BARRETT_2002_PROVISIONAL_SCREEN,SPECIES,Barrett_Glover_1985,1985,Pontederia cordata,SEXUAL_INTERFERENCE,reciprocal stigma-anther positioning in tristylous flowers,pollen export,compatible pollen receipt,NO_DEMONSTRATED_CONFLICT,SPATIAL_SEPARATION,false,SERIAL_WITHIN_FLOWER,SIMULTANEOUS,SAME_UNIT,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,emasculation/intact-flower test of physical sexual interference,HIGH,SCREENED,false,,Barrett_Glover_1985_Evolution,u2_review_defined_source_screen_not_independently_double_coded,Barrett review explicitly retains this as a null/specificity case: compatible pollen receipt did not differ significantly between intact and emasculated flowers.
U2_Campsis_radicans_screen,Campsis_radicans,U2_BARRETT_2002_PROVISIONAL_SCREEN,SPECIES,Bertin_Sullivan_1988,1988,Campsis radicans,SEXUAL_INTERFERENCE,protandrous bisexual flower and stigma pollen-load system,male pollen export,female outcross fruit production,POSITIVE,TEMPORAL_SEPARATION,false,SERIAL_WITHIN_FLOWER,SEQUENTIAL_WITHIN_UNIT,SAME_UNIT,MIXED,UNRESOLVED,UNRESOLVED,UNRESOLVED,timed self-plus-cross pollen interference experiment,HIGH,SCREENED,false,,10.1002/j.1537-2197.1988.tb08827.x,u2_review_defined_source_screen_not_independently_double_coded,Self pollen applied before or with cross pollen markedly reduced fruit production; the source explicitly links marked protandry to avoidance of this interference.
U2_Asclepias_exaltata_screen,Asclepias_exaltata,U2_BARRETT_2002_PROVISIONAL_SCREEN,SPECIES,Broyles_Wyatt_1993,1993,Asclepias exaltata,SEXUAL_INTERFERENCE,pollinium-stigma chamber and ovary system,pollen donation,outcross ovule and fruit maturation,POSITIVE,SHARED_INTEGRATED,false,MULTILEVEL,MIXED,SAME_UNIT,SELF_INCOMPATIBLE,UNRESOLVED,UNRESOLVED,UNRESOLVED,1380 controlled self/cross timed pollinations,HIGH,SCREENED,false,,10.1002/j.1537-2197.1993.tb13765.x,u2_review_defined_source_screen_not_independently_double_coded,Prior or simultaneous self pollen strongly reduces fruit/seed success of cross pollen; the experiment identifies interference but not a separate resolved architecture in the focal source.
U2_Mimulus_aurantiacus_screen,Mimulus_aurantiacus,U2_BARRETT_2002_PROVISIONAL_SCREEN,SPECIES,Fetscher_2001_ProcB,2001,Mimulus aurantiacus,SEXUAL_INTERFERENCE,stigma-anther presentation system with stigma closure,male pollen export,female pollen receipt,POSITIVE,TEMPORAL_AND_SPATIAL_SEPARATION,false,SERIAL_WITHIN_FLOWER,SEQUENTIAL_WITHIN_UNIT,SAME_UNIT,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,experimental stigma-closure manipulation,HIGH,SCREENED,false,,10.1098/rspb.2000.1395,u2_review_defined_source_screen_not_independently_double_coded,"Stigma closure dynamically increases separation and substantially improves subsequent pollen export, directly supporting a conflict-reduction function."
U2_Polemonium_viscosum_screen,Polemonium_viscosum,U2_BARRETT_2002_PROVISIONAL_SCREEN,SPECIES,Galen_Gregory_Galloway_1989,1989,Polemonium viscosum,SEXUAL_INTERFERENCE,pollen and stigma presentation within bisexual flowers,pollen presentation/export,compatible pollen germination and seed production,POSITIVE,TEMPORAL_AND_SPATIAL_SEPARATION,false,SERIAL_WITHIN_FLOWER,SEQUENTIAL_WITHIN_UNIT,SAME_UNIT,SELF_INCOMPATIBLE,UNRESOLVED,UNRESOLVED,UNRESOLVED,timed incompatible-self then outcross pollen experiment,HIGH,SCREENED,false,,10.1002/j.1537-2197.1989.tb15152.x,u2_review_defined_source_screen_not_independently_double_coded,The source reports spatial and temporal segregation and shows prior self pollen can inhibit outcross pollen germination and reduce seed production.
U2_Eichhornia_paniculata_screen,Eichhornia_paniculata,U2_BARRETT_2002_PROVISIONAL_SCREEN,SPECIES,Harder_Barrett_1995;Harder_Barrett_Cole_2000;Kohn_Barrett_1992,1995,Eichhornia paniculata,SEXUAL_INTERFERENCE,multi-flower display and sexual segregation within inflorescences,pollinator attraction and pollen receipt,outcross pollen export,POSITIVE,SHARED_INTEGRATED,false,REPEATED_FLOWERS,SIMULTANEOUS,BETWEEN_MODULES,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,flower-number manipulation plus genetic paternity/sexual-segregation experiments,HIGH,SCREENED,false,,10.1038/373512a0;10.1098/rspb.2000.1002,u2_review_defined_source_screen_not_independently_double_coded,Larger displays increase geitonogamy and reduce outcrossed siring success; the current row codes the experimentally varied shared display rather than inferring a historical resolved architecture.
U2_Wahlenbergia_albomarginata_screen,Wahlenbergia_albomarginata,U2_BARRETT_2002_PROVISIONAL_SCREEN,SPECIES,Lloyd_Yates_1982,1982,Wahlenbergia albomarginata,SEXUAL_INTERFERENCE,pollen and stigma presentation system,pollen export,pollen receipt,UNRESOLVED,SPATIAL_SEPARATION,false,SERIAL_WITHIN_FLOWER,UNRESOLVED,SAME_UNIT,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,reproductive-biology study of pollen/stigma segregation,MODERATE,SCREENED,false,,Lloyd_Yates_1982_Evolution,u2_review_defined_source_screen_not_independently_double_coded,"Pollen/stigma segregation is documented, but direct fitness cost of sexual interference is not promoted from the review description alone."
U2_Pseudowintera_colorata_screen,Pseudowintera_colorata,U2_BARRETT_2002_PROVISIONAL_SCREEN,SPECIES,Lloyd_Wells_1992,1992,Pseudowintera colorata,SEXUAL_INTERFERENCE,flower reproductive system,male reproductive function,female reproductive function,UNRESOLVED,UNRESOLVED,unresolved,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,reproductive-biology study,MODERATE,SCREENED,false,,Lloyd_Wells_1992_Plant_Systematics_Evolution,u2_review_defined_source_screen_not_independently_double_coded,Review-cited reproductive biology is retained without assigning a sexual-interference mechanism or architecture mode.
