source_key,source_type,citation,publication_doi,data_doi,data_format,public_scope,screening_role,current_status,claim_ceiling,next_action
CARUSO_FLORAL_SELECTION_2019,meta_analysis_database,Caruso_Eisen_Martin_Sletvold_2019,10.1111/evo.13639,10.5061/dryad.2v8c5g0,xls_xlsx,755_beta_plus_SE_records_36_articles_35_species_15_families_487_same_trait_same_fitness_treatment_pairs,PRIMARY_FLORAL_SELECTION_SEARCH_UNIVERSE,METADATA_VERIFIED_NON_DUP_FILE_INGEST_PENDING,search_universe_not_BALANCE_result,obtain_Exp_stud_NOTdup_Dryad_xls_then_map_columns_to_canonical_screening_schema
CARUSO_ENV_SELECTION_2017,broad_experimental_selection_database,Caruso_et_al_2017,10.1086/692760,10.5061/dryad.r19f8,csv,experimental_directional_selection_gradients_plus_SE_across_taxa_traits_and_environmental_manipulations,FALLBACK_CSV_SEARCH_UNIVERSE,METADATA_VERIFIED_NOT_YET_BALANCE_SCREENED,broad_experimental_selection_database_not_floral_BALANCE_result,use_if_primary_floral_database_or_original_source_recovery_requires_broader_inventory
CAMPBELL_IPOMOPSIS_2022,primary_study_plus_raw_data,Campbell_et_al_2022,10.1086/716740,10.7280/D1KM49,tabular_public_data,six_floral_traits_with_pollination_and_seed_predation_fitness_components,NEGATIVE_OR_WEAK_BOUNDARY_COMMON_REANALYSIS_CANDIDATE,SOURCE_ADJUDICATED_RAW_DATA_PUBLIC,not_prelabelled_positive_opposing_selection,reanalyse_under_common_Q1_estimand_and_preserve_null_same_trait_agent_results
CHAPURLAT_GYMNADENIA_2019,primary_study_plus_raw_data,Chapurlat_et_al_2019,10.1111/nph.15747,10.5061/dryad.5120mv4,xlsx,individual_morphology_scent_and_fitness_with_pollinator_and_nonpollinator_selection,RESIDUAL_NONPOLLINATOR_SELECTION_NOT_ANTAGONIST_Q1,METHODS_AUDITED_ANTAGONIST_ROUTE_NOT_SUPPORTED_RAW_DATA_PUBLIC,pollinator_vs_residual_nonpollinator_conflict_not_antagonist_specific,reanalyse_only_as_pollinator_vs_residual_selection_or_resource_cost_unless_a_second_function_is_independently_identified
SLETVOLD_GYMNADENIA_2015,primary_factorial_experiment,Sletvold_Moritz_Agren_2015,10.1890/14-0119.1,ECOLOGICAL_ARCHIVES_E096_022_A1,appendix_tables,2x2_pollination_x_herbivory_factorial_with_four_treatment_group_linear_beta_plus_SE_and_common_female_fitness,OPPOSED_AGENT_PAIR_FACTORIAL_SOURCE,APPENDIX_A2_NUMERIC_CONTRAST_RECONSTRUCTION_PENDING,identified_pollinator_vs_herbivore_conflict_on_flowering_phenology_not_yet_effect_size_ready,recover_Table_A2_values_and_factorial_contrast_covariance_or_interaction_SE_before_Q1_effect_promotion
EGAN_FRAGARIA_2021,primary_factorial_experiment_plus_raw_data,Egan_Muola_Parachnowitsch_Stenberg_2021,10.1002/evl3.262,10.5061/dryad.1rn8pk0vn,raw_data_plus_recovered_supplementary_docx,2x2_open_vs_hand_pollination_x_herbivore_addition_vs_removal_with_total_fertilized_seed_fitness_and_emmeans_slope_contrasts,DIFFUSE_OPPOSED_AGENT_FACTORIAL_SOURCE,TABLE_S2_S3_REPORTED_JOINT_COVARIANCE_RECONSTRUCTED_EFFECT_READY,Q1B_effect_ready_pattern_not_direct_BALANCE_occupancy,retain_reported_covariance_receipt_then_seek_raw_data_bootstrap_sensitivity_and_two_independent_positive_factorial_replications
SANTANGELO_TRIFOLIUM_2018,primary_factorial_experiment_plus_public_code_data,Santangelo_Thompson_Johnson_2018,10.1111/jeb.13392,10.5061/dryad.h6qg003,txt_csv_R_code,HCN_x_pollination_x_herbivory_factorial_50_clonal_genotypes_clean_selection_data_tables_and_reproducible_R_script,FACTORIAL_NEGATIVE_CONTROL_REANALYSIS,AUTHOR_REPO_AND_TABLES_AUDITED_NO_SAME_TRAIT_OPPOSITION,factorial_design_negative_control_not_conflict_pattern_or_Q1B_positive,reanalyse_clean_data_with_registered_factorial_receipt_as_negative_control_without_positive_pattern_promotion
CARUSO_FLORAL_DUPLICATED_2019,manuscript_analysis_database,Caruso_Eisen_Martin_Sletvold_2019,10.1111/evo.13639,10.5061/dryad.2v8c5g0,xlsx,records_duplicated_to_construct_manuscript_analysis_pairs,DEPENDENCE_AUDIT_ONLY,DO_NOT_USE_AS_INDEPENDENT_SOURCE_INVENTORY,duplicated_analysis_rows_not_new_evidence,use_only_to_reproduce_original_pair_construction_after_nonduplicated_inventory_is_frozen
IRWIN_IPOMOPSIS_2006,primary_study,Irwin_2006,10.1086/499377,not_registered,article_path_model,two_year_pollination_and_nectar_robbing_path_selection_plus_longer_temporal_context,SOURCE_REANALYSIS_REQUIRED_AGENT_PAIR,SOURCE_METADATA_VERIFIED_EFFECT_COMPATIBILITY_PENDING,pollination_and_nectar_robbing_joint_selection_not_common_beta_pair,recover_year_trait_specific_path_coefficients_and_joint_uncertainty
KOLB_PRIMULA_2010,primary_study,Kolb_Ehrlen_2010,10.1007/s10682-009-9316-2,not_registered,article_multi_population_selection,44_52_populations_two_years_seed_predation_flower_abortion_inflorescence_height_flower_number,SEED_PREDATOR_MODERATOR_CANDIDATE,SOURCE_METADATA_VERIFIED_POLLINATOR_COMPONENT_NOT_JOINTLY_IDENTIFIED,seed_predator_mediated_selection_context_not_pollinator_agent_pair,link_to_pollinator_selection_sources_same_system_before_Q1_promotion
