receipt_id,cluster_id,predictor,reported_value,source_id,evidence_type,outcome_independence,adjudication_status,notes
POLEMONIUM_COUPLING_001,Polemonium_viscosum_macro,functional_coupling,HIGH,Galen_Cuba_2001_Evolution,INTEGRATED_STATE_EXPERIMENT,TRUE,ADJUDICATED,The same genetically integrated corolla-shape system changes bumblebee attraction and ant-predation risk in opposing directions; tubular manipulation reduces predation but also pollen receipt and seed set.
DARWIN_COUPLING_001,Darwin_finches_beak_song_macro,functional_coupling,HIGH,Herrel_Podos_et_al_2009_Functional_Ecology,INTEGRATED_STATE_EXPERIMENT,TRUE,ADJUDICATED,Bite force and jaw-closing velocity are negatively correlated within and among species; the same jaw apparatus constrains feeding performance and song-related gape modulation.
HOMARUS_ACCESS_001,Homarus_claw_dimorphism_macro,alternative_accessibility,HIGH,Govind_Pearce_1986_Science;Lnenicka_Blundon_Govind_1988_DevBiol,DEVELOPMENTAL_MECHANISM,TRUE,ADJUDICATED,Paired claws are initially equivalent and experimental rearing or differential exercise can direct which homolog becomes crusher versus cutter; the function-separating developmental route is experimentally manipulable.
HOMARUS_COUPLING_REJECT_001,Homarus_claw_dimorphism_macro,functional_coupling,HIGH,Elner_Campbell_1981_JZool,OUTCOME_DERIVED,FALSE,REJECTED,Adult crusher-versus-cutter mechanics document specialization after the split and therefore cannot by themselves establish coupling in the pre-split shared state.
SOLANUM_ACCESS_REJECT_001,Solanum_rostratum_heteranthery_macro,alternative_accessibility,HIGH,VallejoMarin_et_al_2009_JEB,OUTCOME_DERIVED,FALSE,REJECTED,The existence of feeding and pollinating anthers is the focal structural outcome; it cannot also serve as independent evidence that heteranthery was accessible before the split.
SOLANUM_COUPLING_001,Solanum_rostratum_heteranthery_macro,functional_coupling,HIGH,VallejoMarin_et_al_2009_JEB,UNCLEAR,UNCERTAIN,SCREENED,Pollen simultaneously functions as gamete and pollinator food and the paper explicitly frames this as an evolutionary conflict; independence from the differentiated anther outcome still requires a pre-heteranthery or homantherous comparator audit.
HISA_COUPLING_001,Salmonella_HisA_TrpF_macro,functional_coupling,HIGH,Newton_et_al_2020_Frontiers_Microbiology,INTEGRATED_STATE_EXPERIMENT,TRUE,ADJUDICATED,Mutational paths that increase TrpF-like activity commonly reduce or eliminate ancestral HisA activity in the same protein sequence; direct integrated-state trade-off evidence.
HISA_ACCESS_SCREEN_001,Salmonella_HisA_TrpF_macro,alternative_accessibility,HIGH,Nasvall_et_al_2015_Science,EXPERIMENTAL_ALTERNATIVE_GENERATION,TRUE,SCREENED,"A separate experimental-evolution study generated duplication-and-divergence in the HisA/TrpF system, suggesting a function-separating route is accessible; context dependence and duplicate macro rows must be audited before adjudication."
COGFP_ACCESS_001,coGFP_dual_color_macro,alternative_accessibility,HIGH,Mihajlovic_et_al_2025_eLife,EXPERIMENTAL_ALTERNATIVE_GENERATION,TRUE,ADJUDICATED,Single-copy and experimentally constructed two-active-copy populations were both evolved before observing whether copies specialized; duplication was therefore an ex ante available architecture rather than inferred from the outcome.
COGFP_COUPLING_001,coGFP_dual_color_macro,functional_coupling,HIGH,Mihajlovic_et_al_2025_eLife,INTEGRATED_STATE_EXPERIMENT,TRUE,ADJUDICATED,Improving green fluorescence trades off with blue fluorescence in the same coGFP sequence; direct shared-sequence performance conflict.
PULSATILLA_ACCESS_REJECT_001,Pulsatilla_alpina_andromonoecy_macro,alternative_accessibility,HIGH,Chen_Pannell_2023_ProcB,OUTCOME_DERIVED,FALSE,REJECTED,Observed production of male-only flowers is the resolution outcome and cannot itself establish prior architectural accessibility.
PULSATILLA_COUPLING_001,Pulsatilla_alpina_andromonoecy_macro,functional_coupling,HIGH,Chen_Pannell_2023_ProcB,INTEGRATED_STATE_EXPERIMENT,TRUE,ADJUDICATED,Within bisexual flowers strong protogyny couples female-first function to delayed male function and measured male-versus-female selection on pistil number and flowering time reveals the conflict before using male-only flowers as explanatory evidence.
GAL_COUPLING_001,Yeast_GAL1_GAL3_macro,functional_coupling,HIGH,Hittinger_Carroll_2007_Nature,ANCESTRAL_RECONSTRUCTION,TRUE,ADJUDICATED,The ancestral single GAL gene is bifunctional and precise replacements identify an adaptive regulatory conflict between galactokinase and coinduction requirements.
GAL_ACCESS_REJECT_001,Yeast_GAL1_GAL3_macro,alternative_accessibility,HIGH,Hittinger_Carroll_2007_Nature,OUTCOME_DERIVED,FALSE,REJECTED,The historical GAL1/GAL3 duplication is the focal resolution outcome and cannot be reused as an independent accessibility predictor without a separate pre-outcome route estimate.
FINCH_ACCESS_REJECT_001,Darwin_finches_beak_song_macro,alternative_accessibility,LOW,Herrel_Podos_et_al_2009_Functional_Ecology,OUTCOME_DERIVED,FALSE,REJECTED,A single shared beak being observed today does not demonstrate that function-separating architectures were historically inaccessible.
