universe_record_id,universe_id,dependency_group,taxon_raw,review_reference,primary_source_id,primary_source_doi,evidence_family,screening_status,source_resolution_status,notes
U2_001,U2_BARRETT_2002,Narcissus_assoanus,Narcissus assoanus,Baker_Thompson_Barrett_2000_I_II,Baker et al. 2000 Heredity I/II,10.1046/j.1365-2540.2000.00651.x;10.1046/j.1365-2540.2000.00686.x,STIGMA_HEIGHT_DIMORPHISM,UNSCREENED,RESOLVED_PRIMARY,Review-cited empirical population and controlled-pollination studies; do not infer sexual-interference mechanism from dimorphism alone.
U2_002,U2_BARRETT_2002,Narcissus_dubius,Narcissus dubius,Baker_Thompson_Barrett_2000_I_II,Baker et al. 2000 Heredity I/II,10.1046/j.1365-2540.2000.00651.x;10.1046/j.1365-2540.2000.00686.x,STIGMA_HEIGHT_DIMORPHISM,UNSCREENED,RESOLVED_PRIMARY,Same review-cited study pair as N. assoanus; separate species-level dependency group.
U2_003,U2_BARRETT_2002,Pontederia_cordata,Pontederia cordata,Barrett_Glover_1985,Barrett & Glover 1985 Evolution,,PHYSICAL_SEX_ORGAN_INTERFERENCE_NULL_TEST,UNSCREENED,RESOLVED_PRIMARY,Review explicitly notes no significant difference in compatible pollen receipt between intact and emasculated flowers; valuable specificity/null case.
U2_004,U2_BARRETT_2002,Campsis_radicans,Campsis radicans,Bertin_Sullivan_1988,Bertin & Sullivan 1988 American Journal of Botany,10.1002/j.1537-2197.1988.tb08827.x,SELF_POLLEN_INTERFERENCE,UNSCREENED,RESOLVED_PRIMARY,Self pollen applied with or before cross pollen reduces fruit production; review links protandry to avoidance of interference.
U2_005,U2_BARRETT_2002,Asclepias_exaltata,Asclepias exaltata,Broyles_Wyatt_1993,Broyles & Wyatt 1993 American Journal of Botany,10.1002/j.1537-2197.1993.tb13765.x,SELF_POLLEN_INTERFERENCE,UNSCREENED,RESOLVED_PRIMARY,Timing experiment: prior or simultaneous self pollen reduces fruit/seed set after cross pollen.
U2_006,U2_BARRETT_2002,Mimulus_aurantiacus,Mimulus aurantiacus,Fetscher_2001,Fetscher 2001 Proceedings B,10.1098/rspb.2000.1395,MOVEMENT_HERKOGAMY,UNSCREENED,RESOLVED_PRIMARY,Stigma closure increases spatial separation and more than doubles subsequent pollen export while minimally reducing intrafloral selfing.
U2_007,U2_BARRETT_2002,Polemonium_viscosum,Polemonium viscosum,Galen_Gregory_Galloway_1989,"Galen, Gregory & Galloway 1989 American Journal of Botany",10.2307/2444405,SELF_POLLEN_INTERFERENCE,UNSCREENED,RESOLVED_PRIMARY,Strongly self-incompatible species with spatial/temporal segregation; incompatible self pollen interferes with outcross function.
U2_008,U2_BARRETT_2002,Eichhornia_paniculata,Eichhornia paniculata,Kohn_Barrett_1992;Harder_Barrett_1995;Harder_Barrett_Cole_2000,Kohn & Barrett 1992 Functional Ecology; Harder & Barrett 1995 Nature; Harder et al. 2000 Proceedings B,10.1038/373512a0;10.1098/rspb.2000.1002,INTRAFLOWER_AND_INTERFLOWER_INTERFERENCE,UNSCREENED,RESOLVED_PRIMARY,One dependency group with multiple review-cited manipulations including a negative pistil-removal test and positive display/sexual-segregation experiments.
U2_009,U2_BARRETT_2002,Wahlenbergia_albomarginata,Wahlenbergia albomarginata,Lloyd_Yates_1982,Lloyd & Yates 1982 Evolution,,POLLEN_STIGMA_SEGREGATION,UNSCREENED,RESOLVED_PRIMARY,Review-cited exemplar of intrasexual selection and segregation of pollen and stigmas; mechanism requires primary-source adjudication.
U2_010,U2_BARRETT_2002,Pseudowintera_colorata,Pseudowintera colorata,Lloyd_Wells_1992,Lloyd & Wells 1992 Plant Systematics and Evolution,,REPRODUCTIVE_BIOLOGY,UNSCREENED,RESOLVED_PRIMARY,Review-cited reproductive-biology case; retain even if later excluded from strict sexual-interference analysis.
