cluster_id,dependency_group,sampling_frame_id,unit_type,source_id,publication_year,system_taxon,conflict_family,shared_structure,function_a,function_b,conflict_status,resolution_mode,structural_module_division,module_substrate,conflict_timing_geometry,conflict_spatial_geometry,self_compatibility,autonomous_selfing,pollinator_dependence,life_history,study_design,evidence_quality,adjudication_status,primary_model_eligible,exclusion_reason,source_basis,claim_ceiling,notes
Dalechampia_scandens_mexico_plant,Dalechampia_scandens,PLANT_PILOT_V1,SPECIES_CONTEXT,PerezBarrales_2013,2013,Dalechampia scandens,POLLINATOR_ANTAGONIST,showy floral bract display,pollinator attraction,seed predator avoidance,POSITIVE,SHARED_COMPROMISE,false,SINGLE_OR_CONTINUOUS,SIMULTANEOUS,SAME_UNIT,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,observational component selection,HIGH,SCREENED,false,,doi:10.1111/j.1600-0706.2013.20780.x,plant_macro_pilot_screen_only,First-pass plant-specific recoding; not confirmatory until independent adjudication and outcome-blind search freeze.
Dalechampia_scandens_costa_rica_plant,Dalechampia_scandens,PLANT_PILOT_V1,SPECIES_CONTEXT,Opedal_2019_program,2019,Dalechampia scandens,POLLINATOR_ANTAGONIST,showy floral bract display,pollinator attraction,seed predator avoidance,NO_DEMONSTRATED_CONFLICT,SHARED_COMPROMISE,false,SINGLE_OR_CONTINUOUS,CONTEXT_DEPENDENT,AMONG_POPULATIONS,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,population-level selection comparison,MODERATE,SCREENED,false,,BALANCE_PATTERN_SCREENING_CONTROLS_V1,plant_macro_pilot_screen_only,First-pass plant-specific recoding; not confirmatory until independent adjudication and outcome-blind search freeze.
Castilleja_linariaefolia_plant,Castilleja_linariaefolia,PLANT_PILOT_V1,SPECIES,Cariveau_2004,2004,Castilleja linariaefolia,POLLINATOR_ANTAGONIST,floral calyx length,pollination,predispersal seed predator avoidance,POSITIVE,SHARED_COMPROMISE,false,SINGLE_OR_CONTINUOUS,SIMULTANEOUS,SAME_UNIT,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,field phenotypic selection,HIGH,SCREENED,false,,SCH_CASTILLEJA_FALLBACK_CLOSURE_AUDIT_V1,plant_macro_pilot_screen_only,First-pass plant-specific recoding; not confirmatory until independent adjudication and outcome-blind search freeze.
Polemonium_viscosum_plant,Polemonium_viscosum,PLANT_PILOT_V1,SPECIES,Galen_Cuba_2001,2001,Polemonium viscosum,POLLINATOR_ANTAGONIST,corolla shape,bumblebee pollination,ant predation avoidance,POSITIVE,SHARED_COMPROMISE,false,SINGLE_OR_CONTINUOUS,SIMULTANEOUS,SAME_UNIT,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,corolla manipulation and field fitness model,HIGH,SCREENED,false,,doi:10.1111/j.0014-3820.2001.tb01313.x,plant_macro_pilot_screen_only,First-pass plant-specific recoding; not confirmatory until independent adjudication and outcome-blind search freeze.
Gymnadenia_conopsea_plant,Gymnadenia_conopsea,PLANT_PILOT_V1,SPECIES,Sletvold_Moritz_Agren_2015,2015,Gymnadenia conopsea,POLLINATOR_ANTAGONIST,flowering phenology and floral morphology,pollination,herbivore avoidance,POSITIVE,SHARED_COMPROMISE,false,MULTILEVEL,MIXED,SAME_UNIT,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,2x2 factorial field experiment,HIGH,SCREENED,false,,doi:10.1890/14-0119.1,plant_macro_pilot_screen_only,First-pass plant-specific recoding; not confirmatory until independent adjudication and outcome-blind search freeze.
Fragaria_vesca_plant,Fragaria_vesca,PLANT_PILOT_V1,SPECIES,Egan_et_al_2021,2021,Fragaria vesca,POLLINATOR_ANTAGONIST,inflorescence density and floral phenotype,pollinator attraction,herbivore avoidance,POSITIVE,SHARED_COMPROMISE,false,MULTILEVEL,SIMULTANEOUS,SAME_UNIT,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,full factorial common garden,HIGH,SCREENED,false,,PMC8645195,plant_macro_pilot_screen_only,First-pass plant-specific recoding; not confirmatory until independent adjudication and outcome-blind search freeze.
Pedicularis_rex_plant,Pedicularis_rex,PLANT_PILOT_V1,SPECIES,Sun_Armbruster_Huang_2016,2016,Pedicularis rex,POLLINATOR_ANTAGONIST,corolla exsertion and cupular bract system,pollination,seed predator avoidance,POSITIVE,SHARED_COMPROMISE,false,MULTILEVEL,CONTEXT_DEPENDENT,AMONG_POPULATIONS,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,14-population observational selection,HIGH,SCREENED,false,,PMC4970362,plant_macro_pilot_screen_only,First-pass plant-specific recoding; not confirmatory until independent adjudication and outcome-blind search freeze.
Primula_veris_plant,Primula_veris,PLANT_PILOT_V1,SPECIES,Kolb_Ehrlen_program,2012,Primula veris,POLLINATOR_ANTAGONIST,inflorescence height and floral traits,fruit and seed production,seed predator escape,POSITIVE,SHARED_COMPROMISE,false,MULTILEVEL,CONTEXT_DEPENDENT,ENVIRONMENTAL_MOSAIC,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,multi-population selection and path analysis,HIGH,SCREENED,false,,BALANCE_PRIMULA_VERIS_COMPONENT_CONFLICT_V1,plant_macro_pilot_screen_only,First-pass plant-specific recoding; not confirmatory until independent adjudication and outcome-blind search freeze.
Peucedanum_multivittatum_plant,Peucedanum_multivittatum,PLANT_PILOT_V1,SPECIES,Kudo_Shibata_program,2025,Peucedanum multivittatum,OTHER,floral sex allocation and phenology,reproductive allocation,seed predator avoidance,UNRESOLVED,POLYMORPHIC_OR_MOSAIC,unresolved,REPEATED_FLOWERS,CONTEXT_DEPENDENT,ENVIRONMENTAL_MOSAIC,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,multi-year observational selection mosaic,MODERATE,SCREENED,false,,BALANCE_PEUCEDANUM_LONGITUDINAL_MOSAIC_V1,plant_macro_pilot_screen_only,First-pass plant-specific recoding; not confirmatory until independent adjudication and outcome-blind search freeze.
Platycodon_grandiflorus_plant,Platycodon_grandiflorus,PLANT_PILOT_V1,SPECIES,Nakata_2022,2022,Platycodon grandiflorus,POLLINATION_ABIOTIC,flower orientation,pollination,rain protection,ALIGNED_NO_CONFLICT,SHARED_COMPROMISE,false,SINGLE_OR_CONTINUOUS,SIMULTANEOUS,SAME_UNIT,UNRESOLVED,UNRESOLVED,UNRESOLVED,UNRESOLVED,orientation manipulation,HIGH,SCREENED,false,,SCH_BROAD_MULTIFUNCTIONAL_COMPROMISE_REALITY_CHECK_V1,plant_macro_pilot_screen_only,First-pass plant-specific recoding; not confirmatory until independent adjudication and outcome-blind search freeze.
