inventory_id,universe_record_id,dependency_group,taxon_raw,figshare_article_id,author,title,journal,publication_year,volume,page,identity_status,content_status
U1PROD_001,U1_021,Eryngium_yuccifolium,Eryngium yuccifolium,464,DANDERSON CLARK A;MOLANO-FLORES BRENDA,EFFECTS OF HERBIVORY AND INFLORESCENCE SIZE ON INSECT VISITATION TO ERYNGIUM YUCCIFOLIUM (APIACEAE) A PRAIRIE PLANT,AMERICAN MIDLAND NATURALIST,2010,163,234,DIRECT_FIGSHARE_STUDY_LIST,PRIMARY_FULL_TEXT_RETRIEVAL_PENDING
U1PROD_002,U1_022,Halimium_halimifolium,Halimium halimifolium,1440,SUAREZ-ESTEBAN ALBERTO;DELIBES MIGUEL;FEDRIANI JOSE M,UNPAVED ROADS DISRUPT THE EFFECT OF HERBIVORES AND POLLINATORS ON THE REPRODUCTION OF A DOMINANT SHRUB,BASIC AND APPLIED ECOLOGY,2014,15,524,DIRECT_FIGSHARE_STUDY_LIST,PRIMARY_FULL_TEXT_RETRIEVAL_PENDING
U1PROD_003,U1_023,Heliconia_spathocircinata,Heliconia spathocircinata,1111,MISSAGIA CAIO C C;ALVES MARIA ALICE S,FLORIVORY AND FLORAL LARCENY BY FLY LARVAE DECREASE NECTAR AVAILABILITY AND HUMMINGBIRD FORAGING VISITS AT HELICONIA (HELICONIACEAE) FLOWERS,BIOTROPICA,2017,49,13,DIRECT_FIGSHARE_STUDY_LIST,PRIMARY_FULL_TEXT_RETRIEVAL_PENDING
U1PROD_004,U1_024,Impatiens_capensis,Impatiens capensis,691,GORDEN NICOLE L SOPER;ADLER LYNN S,FLORIVORY SHAPES BOTH LEAF AND FLORAL INTERACTIONS,ECOSPHERE,2016,7,,DIRECT_FIGSHARE_STUDY_LIST,PRIMARY_FULL_TEXT_RETRIEVAL_PENDING
U1PROD_005,U1_025,Ipomopsis_aggregata,Ipomopsis aggregata,284,BRODY ALISON K;IRWIN REBECCA E,WHEN RESOURCES DON'T RESCUE: FLOWERING PHENOLOGY AND SPECIES INTERACTIONS AFFECT COMPENSATION TO HERBIVORY IN IPOMOPSIS AGGREGATA,OIKOS,2012,121,1424,DIRECT_FIGSHARE_STUDY_LIST,PRIMARY_FULL_TEXT_RETRIEVAL_PENDING
U1PROD_006,U1_026,Ipomopsis_aggregata_subsp_candida,Ipomopsis aggregata subsp. candida,886,JUENGER T;BERGELSON J,"POLLEN AND RESOURCE LIMITATION OF COMPENSATION TO HERBIVORY IN SCARLET GILIA, IPOMOPSIS AGGREGATA",ECOLOGY,1997,78,1684,DIRECT_FIGSHARE_STUDY_LIST,PRIMARY_FULL_TEXT_RETRIEVAL_PENDING
U1PROD_007,U1_027,Isomeris_arborea,Isomeris arborea,971,KRUPNICK GA;WEIS AE,THE EFFECT OF FLORAL HERBIVORY ON MALE AND FEMALE REPRODUCTIVE SUCCESS IN ISOMERIS ARBOREA,ECOLOGY,1999,80,135,DIRECT_FIGSHARE_STUDY_LIST,PRIMARY_FULL_TEXT_RETRIEVAL_PENDING
U1PROD_008,U1_027,Isomeris_arborea,Isomeris arborea,973,KRUPNICK GA;WEIS AE;CAMPBELL DR,THE CONSEQUENCES OF FLORAL HERBIVORY FOR POLLINATOR SERVICE TO ISOMERIS ARBOREA,ECOLOGY,1999,80,125,DIRECT_FIGSHARE_STUDY_LIST,PRIMARY_FULL_TEXT_RETRIEVAL_PENDING
U1PROD_009,U1_028,Lepidium_papilliferum,Lepidium papilliferum,995,LEAVITT HOLLIE;ROBERTSON IAN C,PETAL HERBIVORY BY CHRYSOMELID BEETLES (PHYLLOTRETA SP.) IS DETRIMENTAL TO POLLINATION AND SEED PRODUCTION IN LEPIDIUM PAPILLIFERUM (BRASSICACEAE),ECOLOGICAL ENTOMOLOGY,2006,31,657,DIRECT_FIGSHARE_STUDY_LIST,PRIMARY_FULL_TEXT_RETRIEVAL_PENDING
U1PROD_010,U1_029,Linaria_dalmatica,Linaria dalmatica,335,CARIVEAU DANIEL P;NORTON ANDREW P,DIRECT EFFECTS OF A BIOCONTROL AGENT ARE GREATER THAN INDIRECT EFFECTS THROUGH FLOWER VISITORS FOR THE ALIEN PLANT DALMATIAN TOADFLAX (LINARIA DALMATICA: SCROPHULARIACEAE),BIOLOGICAL INVASIONS,2014,16,1951,DIRECT_FIGSHARE_STUDY_LIST,PRIMARY_FULL_TEXT_RETRIEVAL_PENDING
U1PROD_011,U1_030,Loasa_tricolor,Loasa tricolor,332,CARES-SUAREZ ROXANA;POCH TOMAS;ACEVEDO ROMINA F;ACOSTA-BRAVO IGNACIO;PIMENTEL CAROLINA;ESPINOZA CLAUDIA;CARES ROCIO A;MUNOZ PAOLA;GONZALEZ ALEJANDRA V;BOTTO-MAHAN CAREZZA,DO POLLINATORS RESPOND IN A DOSE-DEPENDENT MANNER TO FLOWER HERBIVORY?: AN EXPERIMENTAL ASSESSMENT IN LOASA TRICOLOR (LOASACEAE),GAYANA BOTANICA,2011,68,176,DIRECT_FIGSHARE_STUDY_LIST,PRIMARY_FULL_TEXT_RETRIEVAL_PENDING
U1PROD_012,U1_031,Mimulus_aurantiacus,Mimulus aurantiacus,1475,TSUJI KAORU;DHAMI MANPREET K;CROSS DAVID J R;RICE CAROLYN P;ROMANO NIC H;FUKAMI TADASHI,FLORIVORY AND POLLINATOR VISITATION: A CAUTIONARY TALE,AOB PLANTS,2016,8,,DIRECT_FIGSHARE_STUDY_LIST,PRIMARY_FULL_TEXT_RETRIEVAL_PENDING
U1PROD_013,U1_032,Myrmecophila_tibicinis,Myrmecophila tibicinis,1643,MALO JE;LEIRANA-ALCOCER J;PARRA-TABLA V,"POPULATION FRAGMENTATION, FLORIVORY, AND THE EFFECTS OF FLOWER MORPHOLOGY ALTERATIONS ON THE POLLINATION SUCCESS OF MYRMECOPHILA TIBICINIS (ORCHIDACEAE)",BIOTROPICA,2001,33,529,DIRECT_FIGSHARE_STUDY_LIST,PRIMARY_FULL_TEXT_RETRIEVAL_PENDING
U1PROD_014,U1_033,Oenothera_macrocarpa,Oenothera macrocarpa,1128,MOTHERSHEAD K;MARQUIS RJ,FITNESS IMPACTS OF HERBIVORY THROUGH INDIRECT EFFECTS ON PLANT-POLLINATOR INTERACTIONS IN OENOTHERA MACROCARPA,ECOLOGY,2000,81,30,DIRECT_FIGSHARE_STUDY_LIST,PRIMARY_FULL_TEXT_RETRIEVAL_PENDING
U1PROD_015,U1_034,Pastinaca_sativa,Pastinaca sativa,1024,LOHMAN DJ;ZANGERL AR;BERENBAUM MR,IMPACT OF FLORAL HERBIVORY BY PARSNIP WEBWORM (OECOPHORIDAE: DEPRESSARIA PASTINACELLA DUPONCHEL) ON POLLINATION AND FITNESS OF WILD PARSNIP (APIACEAE: PASTINACA SATIVA L),AMERICAN MIDLAND NATURALIST,1996,136,407,DIRECT_FIGSHARE_STUDY_LIST,PRIMARY_FULL_TEXT_RETRIEVAL_PENDING
U1PROD_016,U1_034,Pastinaca_sativa,Pastinaca sativa,1574,ZANGERL A R;BERENBAUM M R,EFFECTS OF FLORIVORY ON FLORAL VOLATILE EMISSIONS AND POLLINATION SUCCESS IN THE WILD PARSNIP,ARTHROPOD-PLANT INTERACTIONS,2009,3,181,DIRECT_FIGSHARE_STUDY_LIST,PRIMARY_FULL_TEXT_RETRIEVAL_PENDING
U1PROD_017,U1_035,Pedicularis_gruina,Pedicularis gruina,1010,LIAO KUO;GITURU ROBERT W;GUO YOU-HAO;WANG QING-FENG,EFFECTS OF FLORAL HERBIVORY ON FORAGING BEHAVIOUR OF BUMBLEBEES AND FEMALE REPRODUCTIVE SUCCESS IN PEDICULARIS GRUINA (OROBANCHACEAE),FLORA,2013,208,562,DIRECT_FIGSHARE_STUDY_LIST,PRIMARY_FULL_TEXT_RETRIEVAL_PENDING
U1PROD_018,U1_036,Peraxilla_spp,Peraxilla spp.,917,KELLY DAVE;LADLEY JENNY J;ROBERTSON ALASTAIR W;CROWFOOT LISA,"FLOWER PREDATION BY ZELLERIA MACULATA (LEPIDOPTERA) ON PERAXILLA MISTLETOES: EFFECTS OF LATITUDE AND FRAGMENTATION, AND IMPACT ON FRUIT SET",NEW ZEALAND JOURNAL OF ECOLOGY,2008,32,186,DIRECT_FIGSHARE_STUDY_LIST,PRIMARY_FULL_TEXT_RETRIEVAL_PENDING
U1PROD_019,U1_037,Platanthera_bifolia,Platanthera bifolia,1487,VALLIUS ELISA;SALONEN VEIKKO,ALLOCATION TO REPRODUCTION FOLLOWING EXPERIMENTAL DEFOLIATION IN PLATANTHERA BIFOLIA (ORCHIDACEAE),PLANT ECOLOGY,2006,183,291,DIRECT_FIGSHARE_STUDY_LIST,PRIMARY_FULL_TEXT_RETRIEVAL_PENDING
U1PROD_020,U1_038,Prosopis_flexuosa,Prosopis flexuosa,122,ASCHERO VALERIA;VAZQUEZ DIEGO P,"HABITAT PROTECTION, CATTLE GRAZING AND DENSITY-DEPENDENT REPRODUCTION IN A DESERT TREE",AUSTRAL ECOLOGY,2009,34,901,DIRECT_FIGSHARE_STUDY_LIST,PRIMARY_FULL_TEXT_RETRIEVAL_PENDING
U1PROD_021,U1_039,Raphanus_raphanistrum,Raphanus raphanistrum,1660,STRAUSS SY;ARMBRUSTER WS,FOLIAR HERBIVORY AFFECTS FLORAL CHARACTERS AND PLANT ATTRACTIVENESS TO POLLINATORS: IMPLICATIONS FOR MALE AND FEMALE PLANT FITNESS,AMERICAN NATURALIST,1996,147,1098,DIRECT_FIGSHARE_STUDY_LIST,PRIMARY_FULL_TEXT_RETRIEVAL_PENDING
U1PROD_022,U1_040,Ribes_magellanicum,Ribes magellanicum,1507,VAZQUEZ DP;SIMBERLOFF D,INDIRECT EFFECTS OF AN INTRODUCED UNGULATE ON POLLINATION AND PLANT REPRODUCTION,ECOLOGICAL MONOGRAPHS,2004,74,281,DIRECT_FIGSHARE_STUDY_LIST,PRIMARY_FULL_TEXT_RETRIEVAL_PENDING
