system,layer,target,evidence_status,implementation_status,empirical_execution_status,claim_ceiling,next_gate
GENERAL_BALANCE,theory,middle_world_sandwich,L_THEORY_FROM_SCH_PLUS_WORLDLINE_ORDER,IMPLEMENTED,NOT_APPLICABLE,static_two_sided_regime_only,none
GENERAL_BALANCE,analysis,bounded_middle_world_receipt,NOT_EMPIRICAL,IMPLEMENTED,NOT_YET_EXECUTED,interval_level_direct_worldline_state_only,matched_context_L_WS_WD
GENERAL_BALANCE,analysis,direct_vs_decomposed_concordance,NOT_EMPIRICAL,IMPLEMENTED,NOT_YET_EXECUTED,parallel_residual_requires_scale_context_cost_channel_audits,matched_direct_and_sLK_receipts
GENERAL_BALANCE,dynamics,switching_cost_hysteresis,THEORY_RECOVERED,IMPLEMENTED,NOT_YET_EXECUTED,finite_horizon_persistence_not_historical_transition,forward_reverse_threshold_data
Pedicularis_rex,chapter1_input,causal_fitness_scale_conflict_budget,SHARED_CONFLICT_OBSERVATIONAL_REALITY_RECOVERED,ANALYZER_IMPLEMENTED,NOT_YET_EXECUTED,positive_L_requires_methodqualified_SCH_full_surface,run_SCH_PEDICULARIS_FULL_SURFACE_V2_same_context
Pedicularis_rex,chapter2_functional_state,shared_vs_water_state_worldline,CONSTITUENT_FUNCTIONS_RECOVERED,CONTRACT_IMPLEMENTED,NOT_YET_EXECUTED,functional_state_middle_world_only_not_structural_architecture,positive_SCH_receipt_then_matched_x_by_water_y_surface
Pedicularis_rex,chapter2_structural_architecture,shared_vs_structural_y_worldline,NOT_YET_RECOVERED,NOT_YET_IMPLEMENTED,NOT_YET_EXECUTED,architecture_middle_world_requires_repeatable_structural_y_and_matched_cost_scale,promote_structural_y_and_define_architecture_cost_lane
Pedicularis_rex,chapter3_input,dimensional_release_and_loading,CONSTITUENT_FUNCTIONS_RECOVERED,BITA_ANALYZER_IMPLEMENTED,NOT_YET_EXECUTED,BITA_release_if_positive_not_historical_modularization,positive_functional_state_worldline_then_BITA_release
Peucedanum_multivittatum,observational_anchor,multiple_definition_critical_region,RECOVERED_FROM_PUBLISHED_2025_VALUES,IMPLEMENTED,EXISTING_OBSERVATIONAL_SELECTION_DATA,same_coarse_transition_region_not_BALANCE_worldline,retain_as_external_critical_region_anchor
Peucedanum_multivittatum,observational_anchor,predator_egg_proxy_numeric_crossings,CONDITIONAL_INTERPOLATION_FROM_PUBLISHED_VALUES,IMPLEMENTED,EXISTING_PUBLISHED_SUMMARY_DATA,proxy_crossings_not_theoretical_weight_or_common_architecture_boundary,raw_data_normalization_and_continuous_reanalysis
Peucedanum_multivittatum,chapter2_worldline,matched_WS_WD_same_fitness_scale,NOT_IDENTIFIED,NOT_IMPLEMENTED,NOT_YET_EXECUTED,no_middle_world_claim_without_direct_worldline_order,design_or_recover_matched_architecture_comparison
