system,chapter,layer,target,evidence_status,software_status,empirical_status,claim_ceiling,next_gate
GENERAL_PROGRAMME,all,interface,context_and_fitness_scale_lock,NOT_EMPIRICAL,MAIN_GREEN_THREE_WORLD_CONFLICT_HANDOFF_V1,SYNTHETIC_ONLY,software_identity_guard_only,collect_same_context_Pedicularis_data
GENERAL_PROGRAMME,all,interface,end_to_end_conflict_worldline_decomposition,NOT_EMPIRICAL,MAIN_GREEN_SYNTHETIC_END_TO_END,SYNTHETIC_ONLY,interface_regression_not_biological_result,replace_synthetic_receipts_with_real_Pedicularis_receipts
GENERAL_PROGRAMME,all,generality,cross_system_signature_replication,PROGRAMME_DEFINED,ISSUE_11_REGISTERED,NOT_YET_EXECUTED,no_universality_from_one_system,first_close_Pedicularis_then_replication
GENERAL_BALANCE,2,theory,middle_world_sandwich,L_THEORY_PLUS_DIRECT_WORLDLINE_ORDER,MAIN_IMPLEMENTED,NOT_APPLICABLE,static_two_sided_regime_only,none
GENERAL_BALANCE,2,theory,interior_geometry_xi_depth_ridge,THEORY_RECOVERED,MAIN_IMPLEMENTED,NOT_APPLICABLE,contemporary_fitness_geometry_not_history,empirical_matched_worldlines
GENERAL_BALANCE,2,dynamics,no_reentry_and_switching_hysteresis,THEORY_RECOVERED,MAIN_IMPLEMENTED,NOT_YET_EXECUTED,finite_horizon_persistence_not_historical_transition,forward_reverse_or_context_duration_data
Pedicularis_rex,1,causal_input,full_surface_state_optima_and_conflict_L,OBSERVATIONAL_CONFLICT_REALITY_RECOVERED,PRODUCTION_ANALYZER_MAIN_PLUS_BUNDLE_PR21_GREEN,NOT_YET_EXECUTED,positive_L_requires_methodqualified_new_SCH_surface,Experiment_A_same_context
Pedicularis_rex,1,power,Experiment_A_20_cell_full_pipeline_power,NOT_EMPIRICAL,PR22_GREEN_NOT_MERGED,PLANNING_ONLY,no_final_n_before_pilot_parameters,pilot_variance_and_threshold_freeze
Pedicularis_rex,2,functional_state,direct_shared_vs_water_worldline,CONSTITUENT_Y_FUNCTION_RECOVERED,PR10_GREEN_NOT_MERGED,NOT_YET_EXECUTED,functional_state_middle_world_only_not_structural_architecture,Experiment_B_after_positive_SCH_bundle
Pedicularis_rex,2,functional_state,middle_world_position_and_depth_from_shared_surface,NOT_EMPIRICAL,PR10_GREEN_NOT_MERGED,NOT_YET_EXECUTED,requires_bounded_BALANCE_identification,Experiment_B_shared_surface
Pedicularis_rex,2,structural_architecture,structural_y_worldline_and_cost,STRUCTURAL_RETENTION_PHENOTYPE_LITERATURE_ONLY,PARTIAL_CONTRACT_ONLY,NOT_YET_EXECUTED,no_architecture_middle_world_without_structural_cost,promote_repeatable_structural_y_and_cost_lane
Pedicularis_rex,3,differentiation,dimensional_release_loading_fitness_gain,CONSTITUENT_FUNCTIONS_RECOVERED,PRODUCTION_ANALYZER_MAIN_PLUS_SHARED_HANDOFF_PR181_GREEN,NOT_YET_EXECUTED,contemporary_functional_differentiation_only,Experiment_B_same_context
Pedicularis_rex,3,power,Experiment_B_10_cell_full_pipeline_power,NOT_EMPIRICAL,PR182_GREEN_NOT_MERGED,PLANNING_ONLY,no_final_n_before_pilot_parameters,pilot_variance_effect_threshold_freeze
Pedicularis_rex,all,design,two_experiment_same_context_chain,DESIGN_FROZEN_AT_LOGIC_LEVEL,ISSUE_3_AND_12_REGISTERED,NOT_YET_EXECUTED,Experiment_A_and_B_required,no_third_duplicate_experiment
Peucedanum_multivittatum,2,observational_anchor,multiple_definition_critical_bracket,RECOVERED_FROM_PUBLISHED_2025_VALUES,MAIN_IMPLEMENTED,EXISTING_OBSERVATIONAL_DATA,same_coarse_transition_region_not_BALANCE_worldline,retain_as_external_anchor
Peucedanum_multivittatum,2,observational_anchor,longitudinal_selection_mosaic,LONGITUDINAL_MOSAIC_CONCORDANT,MAIN_IMPLEMENTED,EXISTING_2017_2025_SOURCE_CHAIN,same_system_longitudinal_support_not_independent_replicates,raw_reanalysis_if_files_acquired
Peucedanum_multivittatum,2,observational_anchor,predator_egg_proxy_numeric_crossings,CONDITIONAL_INTERPOLATION_FROM_PUBLISHED_VALUES,MAIN_IMPLEMENTED,EXISTING_SUMMARY_DATA,proxy_not_theoretical_weight_or_architecture_boundary,raw_individual_data_reanalysis
Peucedanum_multivittatum,2,raw_reanalysis,individual_level_reproduction_and_LOO,PUBLIC_ARCHIVE_IDENTIFIED,MAIN_FAIL_CLOSED_PIPELINE_IMPLEMENTED,RAW_BINARY_NOT_ACQUIRED,no_raw_result_claim,resolve_transport_then_reproduce_source_analysis
Peucedanum_multivittatum,2,direct_worldline,matched_WS_WD_common_scale,NOT_IDENTIFIED,NOT_IMPLEMENTED,NOT_YET_EXECUTED,no_middle_world_claim_without_direct_worldline_order,new_manipulation_or_recover_matched_comparator
